"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/blimp_average","Group: text10-vision0 - evaluation/blimp_average__MIN","Group: text10-vision0 - evaluation/blimp_average__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/blimp_average","Group: text10-vision1 - evaluation/blimp_average__MIN","Group: text10-vision1 - evaluation/blimp_average__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/blimp_average","Group: text10-vision100 - evaluation/blimp_average__MIN","Group: text10-vision100 - evaluation/blimp_average__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/blimp_average","Group: text10-vision10 - evaluation/blimp_average__MIN","Group: text10-vision10 - evaluation/blimp_average__MAX"
"124","130.5","130","131","51.55833435058594","48.727500915527344","54.38916778564453","130","130","130","51.52083206176758","51.52083206176758","51.52083206176758","131","131","131","48.34333419799805","48.34333419799805","48.34333419799805","131","131","131","48.61916732788086","48.61916732788086","48.61916732788086"
"249","327.5","327","328","53.106666564941406","51.96666717529297","54.246665954589844","332","332","332","54.60916519165039","54.60916519165039","54.60916519165039","333","333","333","51.87333297729492","51.87333297729492","51.87333297729492","333","333","333","52.38916778564453","52.38916778564453","52.38916778564453"
"374","459.5","459","460","52.664167404174805","52.14500045776367","53.18333435058594","469","469","469","52.374168395996094","52.374168395996094","52.374168395996094","470","470","470","54.032501220703125","54.032501220703125","54.032501220703125","470","470","470","53.522499084472656","53.522499084472656","53.522499084472656"
"499","656.5","656","657","52.19208335876465","51.897499084472656","52.48666763305664","671","671","671","52.689998626708984","52.689998626708984","52.689998626708984","672","672","672","52.05083465576172","52.05083465576172","52.05083465576172","672","672","672","52.214168548583984","52.214168548583984","52.214168548583984"
"624","788.5","788","789","54.16416549682617","53.86249923706055","54.4658317565918","808","808","808","54.72416687011719","54.72416687011719","54.72416687011719","809","809","809","53.14583206176758","53.14583206176758","53.14583206176758","809","809","809","51.43916702270508","51.43916702270508","51.43916702270508"
"749","985.5","985","986","55.48958396911621","55.378334045410156","55.600833892822266","1010","1010","1010","55.5","55.5","55.5","1011","1011","1011","54.475833892822266","54.475833892822266","54.475833892822266","1011","1011","1011","53.788333892822266","53.788333892822266","53.788333892822266"
"874","1117.5","1117","1118","55.670833587646484","55.64250183105469","55.69916534423828","1147","1147","1147","55.77166748046875","55.77166748046875","55.77166748046875","1148","1148","1148","56.01499938964844","56.01499938964844","56.01499938964844","1148","1148","1148","55.57666778564453","55.57666778564453","55.57666778564453"
"999","1314.5","1314","1315","54.56291580200195","54.522499084472656","54.60333251953125","1349","1349","1349","56.13083267211914","56.13083267211914","56.13083267211914","1350","1350","1350","55.80083465576172","55.80083465576172","55.80083465576172","1350","1350","1350","56.22083282470703","56.22083282470703","56.22083282470703"
"1124","1446.5","1446","1447","54.5654182434082","54.185001373291016","54.94583511352539","1486","1486","1486","56.2400016784668","56.2400016784668","56.2400016784668","1487","1487","1487","55.98833465576172","55.98833465576172","55.98833465576172","1487","1487","1487","55.5","55.5","55.5"
"1249","1643.5","1643","1644","56.17500114440918","55.89250183105469","56.45750045776367","1688","1688","1688","58.85416793823242","58.85416793823242","58.85416793823242","1689","1689","1689","55.22916793823242","55.22916793823242","55.22916793823242","1689","1689","1689","55.81999969482422","55.81999969482422","55.81999969482422"
"1374","1775.5","1775","1776","57.30125045776367","57.141666412353516","57.46083450317383","1825","1825","1825","59.372501373291016","59.372501373291016","59.372501373291016","1826","1826","1826","54.88083267211914","54.88083267211914","54.88083267211914","1826","1826","1826","54.010833740234375","54.010833740234375","54.010833740234375"
"1499","1972.5","1972","1973","58.7287483215332","57.974998474121094","59.48249816894531","2027","2027","2027","60.44333267211914","60.44333267211914","60.44333267211914","2028","2028","2028","55.99416732788086","55.99416732788086","55.99416732788086","2028","2028","2028","55.02333450317383","55.02333450317383","55.02333450317383"
"1624","2104.5","2104","2105","59.67333221435547","58.86083221435547","60.48583221435547","2164","2164","2164","61.970001220703125","61.970001220703125","61.970001220703125","2165","2165","2165","57.290000915527344","57.290000915527344","57.290000915527344","2165","2165","2165","56.26499938964844","56.26499938964844","56.26499938964844"
"1749","2301.5","2301","2302","60.48083305358887","59.92250061035156","61.03916549682617","2366","2366","2366","62.74583435058594","62.74583435058594","62.74583435058594","2367","2367","2367","58.88833236694336","58.88833236694336","58.88833236694336","2367","2367","2367","58.99583435058594","58.99583435058594","58.99583435058594"
"1874","2433.5","2433","2434","60.98125076293945","60.71333312988281","61.249168395996094","2503","2503","2503","63.253334045410156","63.253334045410156","63.253334045410156","2504","2504","2504","59.32666778564453","59.32666778564453","59.32666778564453","2504","2504","2504","59.7691650390625","59.7691650390625","59.7691650390625"
"1999","2630.5","2630","2631","61.613332748413086","61.52750015258789","61.69916534423828","2705","2705","2705","63.900001525878906","63.900001525878906","63.900001525878906","2706","2706","2706","60.23416519165039","60.23416519165039","60.23416519165039","2706","2706","2706","60.420833587646484","60.420833587646484","60.420833587646484"
"2124","2762.5","2762","2763","61.29291534423828","61.09416580200195","61.49166488647461","2842","2842","2842","64.2125015258789","64.2125015258789","64.2125015258789","2843","2843","2843","59.625831604003906","59.625831604003906","59.625831604003906","2843","2843","2843","60.836666107177734","60.836666107177734","60.836666107177734"
"2249","2959.5","2959","2960","62.6341667175293","62.44333267211914","62.82500076293945","3044","3044","3044","64.49250030517578","64.49250030517578","64.49250030517578","3045","3045","3045","60.77333450317383","60.77333450317383","60.77333450317383","3045","3045","3045","61.474998474121094","61.474998474121094","61.474998474121094"
"2374","3091.5","3091","3092","63.29374885559082","62.959999084472656","63.627498626708984","3181","3181","3181","64.84500122070312","64.84500122070312","64.84500122070312","3182","3182","3182","62.94333267211914","62.94333267211914","62.94333267211914","3182","3182","3182","62.858333587646484","62.858333587646484","62.858333587646484"
"2499","3288.5","3288","3289","63.65625190734863","63.20750045776367","64.1050033569336","3383","3383","3383","65.88416290283203","65.88416290283203","65.88416290283203","3384","3384","3384","61.14250183105469","61.14250183105469","61.14250183105469","3384","3384","3384","63.36249923706055","63.36249923706055","63.36249923706055"
"2624","3420.5","3420","3421","64.40166854858398","64.149169921875","64.65416717529297","3520","3520","3520","66.53166961669922","66.53166961669922","66.53166961669922","3521","3521","3521","62.108333587646484","62.108333587646484","62.108333587646484","3521","3521","3521","63.38333511352539","63.38333511352539","63.38333511352539"
"2749","3617.5","3617","3618","64.79500198364258","64.5433349609375","65.04666900634766","3722","3722","3722","66.55750274658203","66.55750274658203","66.55750274658203","3723","3723","3723","64.08916473388672","64.08916473388672","64.08916473388672","3723","3723","3723","64.35832977294922","64.35832977294922","64.35832977294922"
