"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/pseudo_perplexity","Group: text10-vision0 - evaluation/pseudo_perplexity__MIN","Group: text10-vision0 - evaluation/pseudo_perplexity__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/pseudo_perplexity","Group: text10-vision1 - evaluation/pseudo_perplexity__MIN","Group: text10-vision1 - evaluation/pseudo_perplexity__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/pseudo_perplexity","Group: text10-vision100 - evaluation/pseudo_perplexity__MIN","Group: text10-vision100 - evaluation/pseudo_perplexity__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/pseudo_perplexity","Group: text10-vision10 - evaluation/pseudo_perplexity__MIN","Group: text10-vision10 - evaluation/pseudo_perplexity__MAX"
"124","130.5","130","131","5403.616455078125","5347.1669921875","5460.06591796875","130","130","130","4751.9736328125","4751.9736328125","4751.9736328125","131","131","131","5750.4638671875","5750.4638671875","5750.4638671875","131","131","131","5530.63427734375","5530.63427734375","5530.63427734375"
"249","327.5","327","328","1970.1145629882812","1966.3577880859375","1973.871337890625","332","332","332","1924.172607421875","1924.172607421875","1924.172607421875","333","333","333","2024.1455078125","2024.1455078125","2024.1455078125","333","333","333","1964.4873046875","1964.4873046875","1964.4873046875"
"374","459.5","459","460","1695.2176513671875","1680.520263671875","1709.9150390625","469","469","469","1603.4827880859375","1603.4827880859375","1603.4827880859375","470","470","470","1794.94140625","1794.94140625","1794.94140625","470","470","470","1796.9697265625","1796.9697265625","1796.9697265625"
"499","656.5","656","657","1456.9942626953125","1442.185791015625","1471.802734375","671","671","671","1307.308837890625","1307.308837890625","1307.308837890625","672","672","672","1574.335205078125","1574.335205078125","1574.335205078125","672","672","672","1602.154296875","1602.154296875","1602.154296875"
"624","788.5","788","789","1231.67041015625","1210.05322265625","1253.28759765625","808","808","808","1083.0994873046875","1083.0994873046875","1083.0994873046875","809","809","809","1357.0361328125","1357.0361328125","1357.0361328125","809","809","809","1405.60546875","1405.60546875","1405.60546875"
"749","985.5","985","986","1023.4335327148438","1010.2109375","1036.6561279296875","1010","1010","1010","884.9495849609375","884.9495849609375","884.9495849609375","1011","1011","1011","1138.14892578125","1138.14892578125","1138.14892578125","1011","1011","1011","1222.3134765625","1222.3134765625","1222.3134765625"
"874","1117.5","1117","1118","829.0477294921875","819.2508544921875","838.8446044921875","1147","1147","1147","671.5087890625","671.5087890625","671.5087890625","1148","1148","1148","957.0035400390625","957.0035400390625","957.0035400390625","1148","1148","1148","1058.5482177734375","1058.5482177734375","1058.5482177734375"
"999","1314.5","1314","1315","595.9534912109375","560.7044677734375","631.2025146484375","1349","1349","1349","396.65142822265625","396.65142822265625","396.65142822265625","1350","1350","1350","753.522705078125","753.522705078125","753.522705078125","1350","1350","1350","881.041259765625","881.041259765625","881.041259765625"
"1124","1446.5","1446","1447","364.14451599121094","327.2715148925781","401.01751708984375","1486","1486","1486","196.1129913330078","196.1129913330078","196.1129913330078","1487","1487","1487","486.22552490234375","486.22552490234375","486.22552490234375","1487","1487","1487","714.1361694335938","714.1361694335938","714.1361694335938"
"1249","1643.5","1643","1644","200.89017486572266","188.17547607421875","213.60487365722656","1688","1688","1688","128.6885528564453","128.6885528564453","128.6885528564453","1689","1689","1689","305.1887512207031","305.1887512207031","305.1887512207031","1689","1689","1689","465.85919189453125","465.85919189453125","465.85919189453125"
