"Step","Group: text1-vision0 - evaluation/blimp/control_raising","Group: text1-vision0 - evaluation/blimp/control_raising__MIN","Group: text1-vision0 - evaluation/blimp/control_raising__MAX","Group: text1-vision100 - evaluation/blimp/control_raising","Group: text1-vision100 - evaluation/blimp/control_raising__MIN","Group: text1-vision100 - evaluation/blimp/control_raising__MAX","Group: text1-vision10 - evaluation/blimp/control_raising","Group: text1-vision10 - evaluation/blimp/control_raising__MIN","Group: text1-vision10 - evaluation/blimp/control_raising__MAX","Group: text1-vision1 - evaluation/blimp/control_raising","Group: text1-vision1 - evaluation/blimp/control_raising__MIN","Group: text1-vision1 - evaluation/blimp/control_raising__MAX","Group: text10-vision1 - evaluation/blimp/control_raising","Group: text10-vision1 - evaluation/blimp/control_raising__MIN","Group: text10-vision1 - evaluation/blimp/control_raising__MAX","Group: text10-vision100 - evaluation/blimp/control_raising","Group: text10-vision100 - evaluation/blimp/control_raising__MIN","Group: text10-vision100 - evaluation/blimp/control_raising__MAX","Group: text10-vision10 - evaluation/blimp/control_raising","Group: text10-vision10 - evaluation/blimp/control_raising__MIN","Group: text10-vision10 - evaluation/blimp/control_raising__MAX","Group: text10-vision0 - evaluation/blimp/control_raising","Group: text10-vision0 - evaluation/blimp/control_raising__MIN","Group: text10-vision0 - evaluation/blimp/control_raising__MAX"
"130","55.55500030517578","55.279998779296875","55.83000183105469","52.779998779296875","52.779998779296875","52.779998779296875","54.95000076293945","54.95000076293945","54.95000076293945","53.779998779296875","53.779998779296875","53.779998779296875","55.9900016784668","55.9900016784668","55.9900016784668","","","","","","","","",""
"131","","","","","","","","","","","","","","","","55.2400016784668","55.2400016784668","55.2400016784668","55.439998626708984","55.439998626708984","55.439998626708984","56.27000045776367","56.27000045776367","56.27000045776367"
"327","57.404998779296875","56.91999816894531","57.88999938964844","","","","","","","","","","","","","","","","","","","","",""
"328","","","","","","","","","","","","","","","","","","","","","","56.27000045776367","56.27000045776367","56.27000045776367"
"332","","","","57.4900016784668","57.4900016784668","57.4900016784668","57.66999816894531","57.66999816894531","57.66999816894531","57.689998626708984","57.689998626708984","57.689998626708984","57.869998931884766","57.869998931884766","57.869998931884766","","","","","","","","",""
"333","","","","","","","","","","","","","","","","57","57","57","56.869998931884766","56.869998931884766","56.869998931884766","","",""
"459","57.76499938964844","57.599998474121094","57.93000030517578","","","","","","","","","","","","","","","","","","","","",""
"460","","","","","","","","","","","","","","","","","","","","","","58.060001373291016","58.060001373291016","58.060001373291016"
"469","","","","58.290000915527344","58.290000915527344","58.290000915527344","58.709999084472656","58.709999084472656","58.709999084472656","58.310001373291016","58.310001373291016","58.310001373291016","57.95000076293945","57.95000076293945","57.95000076293945","","","","","","","","",""
"470","","","","","","","","","","","","","","","","58.2599983215332","58.2599983215332","58.2599983215332","58.459999084472656","58.459999084472656","58.459999084472656","","",""
"656","58.27499961853027","58.11000061035156","58.439998626708984","","","","","","","","","","","","","","","","","","","","",""
"657","","","","","","","","","","","","","","","","","","","","","","58.11000061035156","58.11000061035156","58.11000061035156"
"671","","","","59.40999984741211","59.40999984741211","59.40999984741211","59.16999816894531","59.16999816894531","59.16999816894531","58.619998931884766","58.619998931884766","58.619998931884766","59.099998474121094","59.099998474121094","59.099998474121094","","","","","","","","",""
"672","","","","","","","","","","","","","","","","58.68000030517578","58.68000030517578","58.68000030517578","58.77000045776367","58.77000045776367","58.77000045776367","","",""
"788","58.73000144958496","58.310001373291016","59.150001525878906","","","","","","","","","","","","","","","","","","","","",""
"789","","","","","","","","","","","","","","","","","","","","","","58.369998931884766","58.369998931884766","58.369998931884766"
"808","","","","58.47999954223633","58.47999954223633","58.47999954223633","59.209999084472656","59.209999084472656","59.209999084472656","58.56999969482422","58.56999969482422","58.56999969482422","59.08000183105469","59.08000183105469","59.08000183105469","","","","","","","","",""
"809","","","","","","","","","","","","","","","","58.790000915527344","58.790000915527344","58.790000915527344","58.2400016784668","58.2400016784668","58.2400016784668","","",""
"985","58.970001220703125","58.400001525878906","59.540000915527344","","","","","","","","","","","","","","","","","","","","",""
"986","","","","","","","","","","","","","","","","","","","","","","59.189998626708984","59.189998626708984","59.189998626708984"
"1010","","","","58.369998931884766","58.369998931884766","58.369998931884766","59.540000915527344","59.540000915527344","59.540000915527344","58.33000183105469","58.33000183105469","58.33000183105469","59.369998931884766","59.369998931884766","59.369998931884766","","","","","","","","",""
"1011","","","","","","","","","","","","","","","","58.459999084472656","58.459999084472656","58.459999084472656","58.369998931884766","58.369998931884766","58.369998931884766","","",""
"1117","58.760000228881836","58.459999084472656","59.060001373291016","","","","","","","","","","","","","","","","","","","","",""
"1118","","","","","","","","","","","","","","","","","","","","","","59.2599983215332","59.2599983215332","59.2599983215332"
"1147","","","","58.81999969482422","58.81999969482422","58.81999969482422","58.84000015258789","58.84000015258789","58.84000015258789","58.439998626708984","58.439998626708984","58.439998626708984","59.369998931884766","59.369998931884766","59.369998931884766","","","","","","","","",""
"1148","","","","","","","","","","","","","","","","59.43000030517578","59.43000030517578","59.43000030517578","59.939998626708984","59.939998626708984","59.939998626708984","","",""
"1314","58.69000053405762","58.59000015258789","58.790000915527344","","","","","","","","","","","","","","","","","","","","",""
"1315","","","","","","","","","","","","","","","","","","","","","","59.08000183105469","59.08000183105469","59.08000183105469"
"1349","","","","59.459999084472656","59.459999084472656","59.459999084472656","60.52000045776367","60.52000045776367","60.52000045776367","59.0099983215332","59.0099983215332","59.0099983215332","58.75","58.75","58.75","","","","","","","","",""
"1350","","","","","","","","","","","","","","","","59.2599983215332","59.2599983215332","59.2599983215332","59.849998474121094","59.849998474121094","59.849998474121094","","",""
"1446","58.47500038146973","57.97999954223633","58.970001220703125","","","","","","","","","","","","","","","","","","","","",""
"1447","","","","","","","","","","","","","","","","","","","","","","58.59000015258789","58.59000015258789","58.59000015258789"
"1486","","","","59.40999984741211","59.40999984741211","59.40999984741211","59.31999969482422","59.31999969482422","59.31999969482422","56.560001373291016","56.560001373291016","56.560001373291016","57.58000183105469","57.58000183105469","57.58000183105469","","","","","","","","",""
"1487","","","","","","","","","","","","","","","","58.040000915527344","58.040000915527344","58.040000915527344","59.459999084472656","59.459999084472656","59.459999084472656","","",""
"1643","57.599998474121094","57.5099983215332","57.689998626708984","","","","","","","","","","","","","","","","","","","","",""
"1644","","","","","","","","","","","","","","","","","","","","","","56.689998626708984","56.689998626708984","56.689998626708984"
"1688","","","","57.470001220703125","57.470001220703125","57.470001220703125","57.06999969482422","57.06999969482422","57.06999969482422","57.220001220703125","57.220001220703125","57.220001220703125","58.77000045776367","58.77000045776367","58.77000045776367","","","","","","","","",""
"1689","","","","","","","","","","","","","","","","56.04999923706055","56.04999923706055","56.04999923706055","57.15999984741211","57.15999984741211","57.15999984741211","","",""
"1775","58","57.290000915527344","58.709999084472656","","","","","","","","","","","","","","","","","","","","",""
"1776","","","","","","","","","","","","","","","","","","","","","","58.220001220703125","58.220001220703125","58.220001220703125"
"1825","","","","58.040000915527344","58.040000915527344","58.040000915527344","56.540000915527344","56.540000915527344","56.540000915527344","57.529998779296875","57.529998779296875","57.529998779296875","58.9900016784668","58.9900016784668","58.9900016784668","","","","","","","","",""
"1826","","","","","","","","","","","","","","","","55.7400016784668","55.7400016784668","55.7400016784668","55.38999938964844","55.38999938964844","55.38999938964844","","",""
"1972","58.880001068115234","58.33000183105469","59.43000030517578","","","","","","","","","","","","","","","","","","","","",""
"1973","","","","","","","","","","","","","","","","","","","","","","58.400001525878906","58.400001525878906","58.400001525878906"
"2027","","","","58.09000015258789","58.09000015258789","58.09000015258789","56.88999938964844","56.88999938964844","56.88999938964844","58.529998779296875","58.529998779296875","58.529998779296875","58.459999084472656","58.459999084472656","58.459999084472656","","","","","","","","",""
"2028","","","","","","","","","","","","","","","","56.560001373291016","56.560001373291016","56.560001373291016","56.29999923706055","56.29999923706055","56.29999923706055","","",""
"2104","58.239999771118164","58.220001220703125","58.2599983215332","","","","","","","","","","","","","","","","","","","","",""
"2105","","","","","","","","","","","","","","","","","","","","","","58.33000183105469","58.33000183105469","58.33000183105469"
"2164","","","","57.400001525878906","57.400001525878906","57.400001525878906","58","58","58","58.400001525878906","58.400001525878906","58.400001525878906","57.81999969482422","57.81999969482422","57.81999969482422","","","","","","","","",""
"2165","","","","","","","","","","","","","","","","56.27000045776367","56.27000045776367","56.27000045776367","56.5","56.5","56.5","","",""
"2301","58.790000915527344","58.060001373291016","59.52000045776367","","","","","","","","","","","","","","","","","","","","",""
"2302","","","","","","","","","","","","","","","","","","","","","","58.349998474121094","58.349998474121094","58.349998474121094"
"2366","","","","57.81999969482422","57.81999969482422","57.81999969482422","59.16999816894531","59.16999816894531","59.16999816894531","57.84000015258789","57.84000015258789","57.84000015258789","58.619998931884766","58.619998931884766","58.619998931884766","","","","","","","","",""
"2367","","","","","","","","","","","","","","","","56.66999816894531","56.66999816894531","56.66999816894531","56.939998626708984","56.939998626708984","56.939998626708984","","",""
"2433","58.21999931335449","57.06999969482422","59.369998931884766","","","","","","","","","","","","","","","","","","","","",""
"2434","","","","","","","","","","","","","","","","","","","","","","58.529998779296875","58.529998779296875","58.529998779296875"
"2503","","","","57.380001068115234","57.380001068115234","57.380001068115234","59.08000183105469","59.08000183105469","59.08000183105469","58.33000183105469","58.33000183105469","58.33000183105469","57.619998931884766","57.619998931884766","57.619998931884766","","","","","","","","",""
"2504","","","","","","","","","","","","","","","","57.7599983215332","57.7599983215332","57.7599983215332","58.11000061035156","58.11000061035156","58.11000061035156","","",""
"2630","57.454999923706055","56.7400016784668","58.16999816894531","","","","","","","","","","","","","","","","","","","","",""
"2631","","","","","","","","","","","","","","","","","","","","","","58.75","58.75","58.75"
"2705","","","","58.709999084472656","58.709999084472656","58.709999084472656","58.56999969482422","58.56999969482422","58.56999969482422","57.84000015258789","57.84000015258789","57.84000015258789","58.439998626708984","58.439998626708984","58.439998626708984","","","","","","","","",""
"2706","","","","","","","","","","","","","","","","58.310001373291016","58.310001373291016","58.310001373291016","58.459999084472656","58.459999084472656","58.459999084472656","","",""
"2762","57.36000061035156","55.880001068115234","58.84000015258789","","","","","","","","","","","","","","","","","","","","",""
