"Step","Group: text10-vision0 - evaluation/blimp/binding","Group: text10-vision0 - evaluation/blimp/binding__MIN","Group: text10-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision0 - evaluation/blimp/binding","Group: text1-vision0 - evaluation/blimp/binding__MIN","Group: text1-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision100 - evaluation/blimp/binding","Group: text1-vision100 - evaluation/blimp/binding__MIN","Group: text1-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision10 - evaluation/blimp/binding","Group: text1-vision10 - evaluation/blimp/binding__MIN","Group: text1-vision10 - evaluation/blimp/binding__MAX","Group: text1-vision1 - evaluation/blimp/binding","Group: text1-vision1 - evaluation/blimp/binding__MIN","Group: text1-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision1 - evaluation/blimp/binding","Group: text10-vision1 - evaluation/blimp/binding__MIN","Group: text10-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision10 - evaluation/blimp/binding","Group: text10-vision10 - evaluation/blimp/binding__MIN","Group: text10-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision100 - evaluation/blimp/binding","Group: text10-vision100 - evaluation/blimp/binding__MIN","Group: text10-vision100 - evaluation/blimp/binding__MAX"
"130","65.15999984741211","64.68000030517578","65.63999938964844","62.53000068664551","60.630001068115234","64.43000030517578","68.33999633789062","68.33999633789062","68.33999633789062","53.4900016784668","53.4900016784668","53.4900016784668","61.400001525878906","61.400001525878906","61.400001525878906","61.4900016784668","61.4900016784668","61.4900016784668","","","","","",""
"131","60.38999938964844","60.38999938964844","60.38999938964844","","","","","","","","","","","","","","","","60.81999969482422","60.81999969482422","60.81999969482422","61.060001373291016","61.060001373291016","61.060001373291016"
"327","63.28499984741211","61.61000061035156","64.95999908447266","63.80500030517578","63.18000030517578","64.43000030517578","","","","","","","","","","","","","","","","","",""
"328","63.130001068115234","63.130001068115234","63.130001068115234","","","","","","","","","","","","","","","","","","","","",""
"332","","","","","","","63.97999954223633","63.97999954223633","63.97999954223633","66.36000061035156","66.36000061035156","66.36000061035156","64.51000213623047","64.51000213623047","64.51000213623047","65.41000366210938","65.41000366210938","65.41000366210938","","","","","",""
"333","","","","","","","","","","","","","","","","","","","64.3499984741211","64.3499984741211","64.3499984741211","63.279998779296875","63.279998779296875","63.279998779296875"
"459","62.744998931884766","62.66999816894531","62.81999969482422","63.69000053405762","62.70000076293945","64.68000030517578","","","","","","","","","","","","","","","","","",""
"460","63.68000030517578","63.68000030517578","63.68000030517578","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","65.88999938964844","65.88999938964844","65.88999938964844","64.5999984741211","64.5999984741211","64.5999984741211","64.4000015258789","64.4000015258789","64.4000015258789","65.54000091552734","65.54000091552734","65.54000091552734","","","","","",""
"470","","","","","","","","","","","","","","","","","","","63.88999938964844","63.88999938964844","63.88999938964844","63.25","63.25","63.25"
