"Step","Group: text10-vision0 - evaluation/blimp/npi_licensing","Group: text10-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision0 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision0 - evaluation/blimp/npi_licensing","Group: text1-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision0 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision100 - evaluation/blimp/npi_licensing","Group: text1-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision10 - evaluation/blimp/npi_licensing","Group: text1-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision1 - evaluation/blimp/npi_licensing","Group: text1-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision1 - evaluation/blimp/npi_licensing","Group: text10-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision10 - evaluation/blimp/npi_licensing","Group: text10-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision100 - evaluation/blimp/npi_licensing","Group: text10-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision100 - evaluation/blimp/npi_licensing__MAX"
"130","41.72500038146973","38.65999984741211","44.790000915527344","46.80500030517578","46.7400016784668","46.869998931884766","53.099998474121094","53.099998474121094","53.099998474121094","64.36000061035156","64.36000061035156","64.36000061035156","45.189998626708984","45.189998626708984","45.189998626708984","48.09000015258789","48.09000015258789","48.09000015258789","","","","","",""
"131","47.2400016784668","47.2400016784668","47.2400016784668","","","","","","","","","","","","","","","","44.029998779296875","44.029998779296875","44.029998779296875","42.970001220703125","42.970001220703125","42.970001220703125"
"327","54.7450008392334","54.02000045776367","55.470001220703125","53.85000038146973","53.08000183105469","54.619998931884766","","","","","","","","","","","","","","","","","",""
"328","53.16999816894531","53.16999816894531","53.16999816894531","","","","","","","","","","","","","","","","","","","","",""
"332","","","","","","","54.7400016784668","54.7400016784668","54.7400016784668","56.029998779296875","56.029998779296875","56.029998779296875","51.9900016784668","51.9900016784668","51.9900016784668","53.36000061035156","53.36000061035156","53.36000061035156","","","","","",""
"333","","","","","","","","","","","","","","","","","","","52.95000076293945","52.95000076293945","52.95000076293945","51.58000183105469","51.58000183105469","51.58000183105469"
"459","55.079999923706055","54.540000915527344","55.619998931884766","57.060001373291016","55.83000183105469","58.290000915527344","","","","","","","","","","","","","","","","","",""
"460","56.529998779296875","56.529998779296875","56.529998779296875","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","57.29999923706055","57.29999923706055","57.29999923706055","55.060001373291016","55.060001373291016","55.060001373291016","50.58000183105469","50.58000183105469","50.58000183105469","56.72999954223633","56.72999954223633","56.72999954223633","","","","","",""
"470","","","","","","","","","","","","","","","","","","","55.560001373291016","55.560001373291016","55.560001373291016","55.7400016784668","55.7400016784668","55.7400016784668"
"656","54.30499839782715","53.689998626708984","54.91999816894531","53.80500030517578","52.84000015258789","54.77000045776367","","","","","","","","","","","","","","","","","",""
"657","55.95000076293945","55.95000076293945","55.95000076293945","","","","","","","","","","","","","","","","","","","","",""
