"Step","Group: text1-vision0 - evaluation/blimp/ellipsis","Group: text1-vision0 - evaluation/blimp/ellipsis__MIN","Group: text1-vision0 - evaluation/blimp/ellipsis__MAX","Group: text1-vision100 - evaluation/blimp/ellipsis","Group: text1-vision100 - evaluation/blimp/ellipsis__MIN","Group: text1-vision100 - evaluation/blimp/ellipsis__MAX","Group: text1-vision10 - evaluation/blimp/ellipsis","Group: text1-vision10 - evaluation/blimp/ellipsis__MIN","Group: text1-vision10 - evaluation/blimp/ellipsis__MAX","Group: text1-vision1 - evaluation/blimp/ellipsis","Group: text1-vision1 - evaluation/blimp/ellipsis__MIN","Group: text1-vision1 - evaluation/blimp/ellipsis__MAX","Group: text10-vision1 - evaluation/blimp/ellipsis","Group: text10-vision1 - evaluation/blimp/ellipsis__MIN","Group: text10-vision1 - evaluation/blimp/ellipsis__MAX","Group: text10-vision100 - evaluation/blimp/ellipsis","Group: text10-vision100 - evaluation/blimp/ellipsis__MIN","Group: text10-vision100 - evaluation/blimp/ellipsis__MAX","Group: text10-vision10 - evaluation/blimp/ellipsis","Group: text10-vision10 - evaluation/blimp/ellipsis__MIN","Group: text10-vision10 - evaluation/blimp/ellipsis__MAX","Group: text10-vision0 - evaluation/blimp/ellipsis","Group: text10-vision0 - evaluation/blimp/ellipsis__MIN","Group: text10-vision0 - evaluation/blimp/ellipsis__MAX"
"130","42","41.45000076293945","42.54999923706055","41.7400016784668","41.7400016784668","41.7400016784668","40.0099983215332","40.0099983215332","40.0099983215332","42.029998779296875","42.029998779296875","42.029998779296875","40.470001220703125","40.470001220703125","40.470001220703125","","","","","","","","",""
"131","","","","","","","","","","","","","","","","42.2599983215332","42.2599983215332","42.2599983215332","41.970001220703125","41.970001220703125","41.970001220703125","41.45000076293945","41.45000076293945","41.45000076293945"
"327","44.05500030517578","43.36000061035156","44.75","","","","","","","","","","","","","","","","","","","","",""
"328","","","","","","","","","","","","","","","","","","","","","","42.900001525878906","42.900001525878906","42.900001525878906"
"332","","","","44.279998779296875","44.279998779296875","44.279998779296875","44.16999816894531","44.16999816894531","44.16999816894531","42.779998779296875","42.779998779296875","42.779998779296875","47.810001373291016","47.810001373291016","47.810001373291016","","","","","","","","",""
"333","","","","","","","","","","","","","","","","41.630001068115234","41.630001068115234","41.630001068115234","41.86000061035156","41.86000061035156","41.86000061035156","","",""
"459","46.21999931335449","45.66999816894531","46.77000045776367","","","","","","","","","","","","","","","","","","","","",""
"460","","","","","","","","","","","","","","","","","","","","","","44.86000061035156","44.86000061035156","44.86000061035156"
"469","","","","48.040000915527344","48.040000915527344","48.040000915527344","46.880001068115234","46.880001068115234","46.880001068115234","48.380001068115234","48.380001068115234","48.380001068115234","47.97999954223633","47.97999954223633","47.97999954223633","","","","","","","","",""
"470","","","","","","","","","","","","","","","","44.689998626708984","44.689998626708984","44.689998626708984","46.540000915527344","46.540000915527344","46.540000915527344","","",""
"656","43.329999923706055","42.380001068115234","44.279998779296875","","","","","","","","","","","","","","","","","","","","",""
"657","","","","","","","","","","","","","","","","","","","","","","44.22999954223633","44.22999954223633","44.22999954223633"
