"Step","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement__MAX"
"130","49.25","49.04999923706055","49.45000076293945","46.900001525878906","46.900001525878906","46.900001525878906","52.290000915527344","52.290000915527344","52.290000915527344","50.59000015258789","50.59000015258789","50.59000015258789","48.060001373291016","48.060001373291016","48.060001373291016","","","","","","","","",""
"131","","","","","","","","","","","","","","","","49.470001220703125","49.470001220703125","49.470001220703125","49.45000076293945","49.45000076293945","49.45000076293945","49.630001068115234","49.630001068115234","49.630001068115234"
"327","49.44999885559082","48.869998931884766","50.029998779296875","","","","","","","","","","","","","","","","","","","","",""
"328","","","","","","","","","","","","","","","","","","","","","","50.16999816894531","50.16999816894531","50.16999816894531"
"332","","","","50.709999084472656","50.709999084472656","50.709999084472656","51.58000183105469","51.58000183105469","51.58000183105469","49.7599983215332","49.7599983215332","49.7599983215332","50.81999969482422","50.81999969482422","50.81999969482422","","","","","","","","",""
"333","","","","","","","","","","","","","","","","50.529998779296875","50.529998779296875","50.529998779296875","50.349998474121094","50.349998474121094","50.349998474121094","","",""
"459","49.88999938964844","49.52000045776367","50.2599983215332","","","","","","","","","","","","","","","","","","","","",""
"460","","","","","","","","","","","","","","","","","","","","","","49.790000915527344","49.790000915527344","49.790000915527344"
"469","","","","50.619998931884766","50.619998931884766","50.619998931884766","49.83000183105469","49.83000183105469","49.83000183105469","48.58000183105469","48.58000183105469","48.58000183105469","50.529998779296875","50.529998779296875","50.529998779296875","","","","","","","","",""
"470","","","","","","","","","","","","","","","","50.54999923706055","50.54999923706055","50.54999923706055","50.08000183105469","50.08000183105469","50.08000183105469","","",""
"656","50.09000015258789","49.970001220703125","50.209999084472656","","","","","","","","","","","","","","","","","","","","",""
"657","","","","","","","","","","","","","","","","","","","","","","49.630001068115234","49.630001068115234","49.630001068115234"
"671","","","","50.54999923706055","50.54999923706055","50.54999923706055","49.290000915527344","49.290000915527344","49.290000915527344","49.45000076293945","49.45000076293945","49.45000076293945","50.189998626708984","50.189998626708984","50.189998626708984","","","","","","","","",""
"672","","","","","","","","","","","","","","","","50.150001525878906","50.150001525878906","50.150001525878906","49.9900016784668","49.9900016784668","49.9900016784668","","",""
"788","50.170000076293945","49.86000061035156","50.47999954223633","","","","","","","","","","","","","","","","","","","","",""
"789","","","","","","","","","","","","","","","","","","","","","","49.119998931884766","49.119998931884766","49.119998931884766"
"808","","","","50.22999954223633","50.22999954223633","50.22999954223633","49.380001068115234","49.380001068115234","49.380001068115234","49.939998626708984","49.939998626708984","49.939998626708984","50.209999084472656","50.209999084472656","50.209999084472656","","","","","","","","",""
"809","","","","","","","","","","","","","","","","49.22999954223633","49.22999954223633","49.22999954223633","49.20000076293945","49.20000076293945","49.20000076293945","","",""
"985","50.97500038146973","49.95000076293945","52","","","","","","","","","","","","","","","","","","","","",""
"986","","","","","","","","","","","","","","","","","","","","","","49.290000915527344","49.290000915527344","49.290000915527344"
"1010","","","","51.150001525878906","51.150001525878906","51.150001525878906","49.810001373291016","49.810001373291016","49.810001373291016","49.540000915527344","49.540000915527344","49.540000915527344","49.43000030517578","49.43000030517578","49.43000030517578","","","","","","","","",""
"1011","","","","","","","","","","","","","","","","50.209999084472656","50.209999084472656","50.209999084472656","49.650001525878906","49.650001525878906","49.650001525878906","","",""
"1117","50.80999946594238","49.86000061035156","51.7599983215332","","","","","","","","","","","","","","","","","","","","",""
"1118","","","","","","","","","","","","","","","","","","","","","","49.880001068115234","49.880001068115234","49.880001068115234"
"1147","","","","50.150001525878906","50.150001525878906","50.150001525878906","49.790000915527344","49.790000915527344","49.790000915527344","50.369998931884766","50.369998931884766","50.369998931884766","50.119998931884766","50.119998931884766","50.119998931884766","","","","","","","","",""
"1148","","","","","","","","","","","","","","","","50.5","50.5","50.5","49.849998474121094","49.849998474121094","49.849998474121094","","",""
"1314","50.875","50.41999816894531","51.33000183105469","","","","","","","","","","","","","","","","","","","","",""
"1315","","","","","","","","","","","","","","","","","","","","","","49.18000030517578","49.18000030517578","49.18000030517578"
"1349","","","","50.08000183105469","50.08000183105469","50.08000183105469","49.22999954223633","49.22999954223633","49.22999954223633","50.369998931884766","50.369998931884766","50.369998931884766","50.970001220703125","50.970001220703125","50.970001220703125","","","","","","","","",""
"1350","","","","","","","","","","","","","","","","50.209999084472656","50.209999084472656","50.209999084472656","49.939998626708984","49.939998626708984","49.939998626708984","","",""
"1446","50.71500015258789","50.029998779296875","51.400001525878906","","","","","","","","","","","","","","","","","","","","",""
"1447","","","","","","","","","","","","","","","","","","","","","","49.27000045776367","49.27000045776367","49.27000045776367"
