"Step","Group: text1-vision10 - evaluation/blimp/anaphor_agreement","Group: text1-vision10 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision10 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision100 - evaluation/blimp/anaphor_agreement","Group: text10-vision100 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision100 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision100 - evaluation/blimp/anaphor_agreement","Group: text1-vision100 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision100 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision10 - evaluation/blimp/anaphor_agreement","Group: text10-vision10 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision10 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision1 - evaluation/blimp/anaphor_agreement","Group: text1-vision1 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision1 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision1 - evaluation/blimp/anaphor_agreement","Group: text10-vision1 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision1 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision0 - evaluation/blimp/anaphor_agreement","Group: text10-vision0 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision0 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision0 - evaluation/blimp/anaphor_agreement","Group: text1-vision0 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision0 - evaluation/blimp/anaphor_agreement__MAX"
"87","","","","","","","","","","","","","","","","30.270000457763672","30.270000457763672","30.270000457763672","30.670000076293945","30.670000076293945","30.670000076293945","","",""
"130","","","","","","","","","","","","","","","","","","","","","","31.489999771118164","31.489999771118164","31.489999771118164"
"131","","","","","","","","","","","","","27.559999465942383","27.559999465942383","27.559999465942383","","","","","","","","",""
"145","29.399999618530273","29.399999618530273","29.399999618530273","","","","28.219999313354492","28.219999313354492","28.219999313354492","","","","","","","","","","","","","","",""
"166","","","","28.1200008392334","28.1200008392334","28.1200008392334","","","","28.170000076293945","28.170000076293945","28.170000076293945","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","29.399999618530273","29.399999618530273","29.399999618530273","","",""
"266","","","","","","","","","","","","","","","","29.399999618530273","29.399999618530273","29.399999618530273","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","35.939998626708984","35.939998626708984","35.939998626708984"
"332","31.239999771118164","31.239999771118164","31.239999771118164","","","","33.380001068115234","33.380001068115234","33.380001068115234","","","","","","","","","","","","","","",""
"333","","","","","","","","","","","","","31.489999771118164","31.489999771118164","31.489999771118164","","","","","","","","",""
"338","","","","33.7400016784668","33.7400016784668","33.7400016784668","","","","32.40999984741211","32.40999984741211","32.40999984741211","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","29.399999618530273","29.399999618530273","29.399999618530273","","",""
"445","","","","","","","","","","","","","","","","29.399999618530273","29.399999618530273","29.399999618530273","","","","","",""
"470","","","","","","","","","","","","","31.700000762939453","31.700000762939453","31.700000762939453","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","33.08000183105469","33.08000183105469","33.08000183105469"
"483","51.119998931884766","51.119998931884766","51.119998931884766","","","","50.459999084472656","50.459999084472656","50.459999084472656","","","","","","","","","","","","","","",""
"510","","","","50.91999816894531","50.91999816894531","50.91999816894531","","","","50.20000076293945","50.20000076293945","50.20000076293945","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","31.489999771118164","31.489999771118164","31.489999771118164","","",""
"624","","","","","","","","","","","","","","","","34.91999816894531","34.91999816894531","34.91999816894531","","","","","",""
