"Step","Group: text10-vision10 - evaluation/blimp/argument_structure","Group: text10-vision10 - evaluation/blimp/argument_structure__MIN","Group: text10-vision10 - evaluation/blimp/argument_structure__MAX","Group: text10-vision100 - evaluation/blimp/argument_structure","Group: text10-vision100 - evaluation/blimp/argument_structure__MIN","Group: text10-vision100 - evaluation/blimp/argument_structure__MAX","Group: text1-vision100 - evaluation/blimp/argument_structure","Group: text1-vision100 - evaluation/blimp/argument_structure__MIN","Group: text1-vision100 - evaluation/blimp/argument_structure__MAX","Group: text1-vision10 - evaluation/blimp/argument_structure","Group: text1-vision10 - evaluation/blimp/argument_structure__MIN","Group: text1-vision10 - evaluation/blimp/argument_structure__MAX","Group: text1-vision1 - evaluation/blimp/argument_structure","Group: text1-vision1 - evaluation/blimp/argument_structure__MIN","Group: text1-vision1 - evaluation/blimp/argument_structure__MAX","Group: text10-vision1 - evaluation/blimp/argument_structure","Group: text10-vision1 - evaluation/blimp/argument_structure__MIN","Group: text10-vision1 - evaluation/blimp/argument_structure__MAX","Group: text10-vision0 - evaluation/blimp/argument_structure","Group: text10-vision0 - evaluation/blimp/argument_structure__MIN","Group: text10-vision0 - evaluation/blimp/argument_structure__MAX","Group: text1-vision0 - evaluation/blimp/argument_structure","Group: text1-vision0 - evaluation/blimp/argument_structure__MIN","Group: text1-vision0 - evaluation/blimp/argument_structure__MAX"
"87","","","","","","","","","","","","","","","","57.66999816894531","57.66999816894531","57.66999816894531","57.54999923706055","57.54999923706055","57.54999923706055","","",""
"130","","","","","","","","","","","","","","","","","","","","","","58.5099983215332","58.5099983215332","58.5099983215332"
"131","","","","","","","","","","","","","57.61000061035156","57.61000061035156","57.61000061035156","","","","","","","","",""
"145","","","","","","","59.34000015258789","59.34000015258789","59.34000015258789","59.54999923706055","59.54999923706055","59.54999923706055","","","","","","","","","","","",""
"166","59.27000045776367","59.27000045776367","59.27000045776367","59.36000061035156","59.36000061035156","59.36000061035156","","","","","","","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","58.61000061035156","58.61000061035156","58.61000061035156","","",""
"266","","","","","","","","","","","","","","","","58.88999938964844","58.88999938964844","58.88999938964844","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","60.560001373291016","60.560001373291016","60.560001373291016"
"332","","","","","","","61.689998626708984","61.689998626708984","61.689998626708984","61.7599983215332","61.7599983215332","61.7599983215332","","","","","","","","","","","",""
"333","","","","","","","","","","","","","59.40999984741211","59.40999984741211","59.40999984741211","","","","","","","","",""
"338","61.79999923706055","61.79999923706055","61.79999923706055","61.779998779296875","61.779998779296875","61.779998779296875","","","","","","","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","58.970001220703125","58.970001220703125","58.970001220703125","","",""
"445","","","","","","","","","","","","","","","","60.45000076293945","60.45000076293945","60.45000076293945","","","","","",""
"470","","","","","","","","","","","","","61.119998931884766","61.119998931884766","61.119998931884766","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","61.83000183105469","61.83000183105469","61.83000183105469"
"483","","","","","","","62.040000915527344","62.040000915527344","62.040000915527344","62.16999816894531","62.16999816894531","62.16999816894531","","","","","","","","","","","",""
"510","61.9900016784668","61.9900016784668","61.9900016784668","62.25","62.25","62.25","","","","","","","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","60.439998626708984","60.439998626708984","60.439998626708984","","",""
"624","","","","","","","","","","","","","","","","61.310001373291016","61.310001373291016","61.310001373291016","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","62.4900016784668","62.4900016784668","62.4900016784668"
"670","","","","","","","62.16999816894531","62.16999816894531","62.16999816894531","62.02000045776367","62.02000045776367","62.02000045776367","","","","","","","","","","","",""
"672","","","","","","","","","","","","","61.689998626708984","61.689998626708984","61.689998626708984","","","","","","","","",""
"682","61.97999954223633","61.97999954223633","61.97999954223633","62.34000015258789","62.34000015258789","62.34000015258789","","","","","","","","","","","","","","","","","",""
"783","","","","","","","","","","","","","","","","","","","61.22999954223633","61.22999954223633","61.22999954223633","","",""
"803","","","","","","","","","","","","","","","","61.650001525878906","61.650001525878906","61.650001525878906","","","","","",""
"809","","","","","","","","","","","","","62.22999954223633","62.22999954223633","62.22999954223633","","","","","","","","",""
"821","","","","","","","61.88999938964844","61.88999938964844","61.88999938964844","61.56999969482422","61.56999969482422","61.56999969482422","","","","","","","","","","","",""
"826","","","","","","","","","","","","","","","","","","","","","","62.290000915527344","62.290000915527344","62.290000915527344"
"854","61.63999938964844","61.63999938964844","61.63999938964844","61.689998626708984","61.689998626708984","61.689998626708984","","","","","","","","","","","","","","","","","",""
"957","","","","","","","","","","","","","","","","","","","61.65999984741211","61.65999984741211","61.65999984741211","61.79999923706055","61.79999923706055","61.79999923706055"
