"Step","Group: text1-vision100 - evaluation/blimp/irregular_forms","Group: text1-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision10 - evaluation/blimp/irregular_forms","Group: text1-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision10 - evaluation/blimp/irregular_forms","Group: text10-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision100 - evaluation/blimp/irregular_forms","Group: text10-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision1 - evaluation/blimp/irregular_forms","Group: text1-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision1 - evaluation/blimp/irregular_forms","Group: text10-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision0 - evaluation/blimp/irregular_forms","Group: text10-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision0 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision0 - evaluation/blimp/irregular_forms","Group: text1-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision0 - evaluation/blimp/irregular_forms__MAX"
"87","","","","","","","","","","","","","","","","50.279998779296875","50.279998779296875","50.279998779296875","54.349998474121094","54.349998474121094","54.349998474121094","","",""
"130","","","","","","","","","","","","","","","","","","","","","","54.5","54.5","54.5"
"131","","","","","","","","","","","","","46.869998931884766","46.869998931884766","46.869998931884766","","","","","","","","",""
"145","53.22999954223633","53.22999954223633","53.22999954223633","53.279998779296875","53.279998779296875","53.279998779296875","","","","","","","","","","","","","","","","","",""
"166","","","","","","","57.25","57.25","57.25","55.779998779296875","55.779998779296875","55.779998779296875","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","53.540000915527344","53.540000915527344","53.540000915527344","","",""
"266","","","","","","","","","","","","","","","","55.31999969482422","55.31999969482422","55.31999969482422","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","56.38999938964844","56.38999938964844","56.38999938964844"
"332","49.0099983215332","49.0099983215332","49.0099983215332","49.310001373291016","49.310001373291016","49.310001373291016","","","","","","","","","","","","","","","","","",""
"333","","","","","","","","","","","","","56.900001525878906","56.900001525878906","56.900001525878906","","","","","","","","",""
"338","","","","","","","48.54999923706055","48.54999923706055","48.54999923706055","51.25","51.25","51.25","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","58.119998931884766","58.119998931884766","58.119998931884766","","",""
"445","","","","","","","","","","","","","","","","50.18000030517578","50.18000030517578","50.18000030517578","","","","","",""
"470","","","","","","","","","","","","","55.0099983215332","55.0099983215332","55.0099983215332","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","57.349998474121094","57.349998474121094","57.349998474121094"
"483","55.31999969482422","55.31999969482422","55.31999969482422","56.22999954223633","56.22999954223633","56.22999954223633","","","","","","","","","","","","","","","","","",""
"510","","","","","","","65.23999786376953","65.23999786376953","65.23999786376953","65.38999938964844","65.38999938964844","65.38999938964844","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","57.099998474121094","57.099998474121094","57.099998474121094","","",""
"624","","","","","","","","","","","","","","","","54.20000076293945","54.20000076293945","54.20000076293945","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","62.79999923706055","62.79999923706055","62.79999923706055"
"670","61.83000183105469","61.83000183105469","61.83000183105469","63.310001373291016","63.310001373291016","63.310001373291016","","","","","","","","","","","","","","","","","",""
"672","","","","","","","","","","","","","47.02000045776367","47.02000045776367","47.02000045776367","","","","","","","","",""
"682","","","","","","","70.12999725341797","70.12999725341797","70.12999725341797","72.37000274658203","72.37000274658203","72.37000274658203","","","","","","","","","","","",""
"783","","","","","","","","","","","","","","","","","","","55.470001220703125","55.470001220703125","55.470001220703125","","",""
"803","","","","","","","","","","","","","","","","56.439998626708984","56.439998626708984","56.439998626708984","","","","","",""
"809","","","","","","","","","","","","","52.060001373291016","52.060001373291016","52.060001373291016","","","","","","","","",""
"821","68.5","68.5","68.5","66.97000122070312","66.97000122070312","66.97000122070312","","","","","","","","","","","","","","","","","",""
"826","","","","","","","","","","","","","","","","","","","","","","72.01000213623047","72.01000213623047","72.01000213623047"
"854","","","","","","","69.41000366210938","69.41000366210938","69.41000366210938","71.6500015258789","71.6500015258789","71.6500015258789","","","","","","","","","","","",""
"957","","","","","","","","","","","","","","","","","","","55.16999816894531","55.16999816894531","55.16999816894531","71.5999984741211","71.5999984741211","71.5999984741211"
"982","","","","","","","","","","","","","","","","57.90999984741211","57.90999984741211","57.90999984741211","","","","","",""
"1008","71.80999755859375","71.80999755859375","71.80999755859375","71.4000015258789","71.4000015258789","71.4000015258789","","","","","","","","","","","","","","","","","",""
"1011","","","","","","","","","","","","","56.439998626708984","56.439998626708984","56.439998626708984","","","","","","","","",""
"1026","","","","","","","70.33000183105469","70.33000183105469","70.33000183105469","72.56999969482422","72.56999969482422","72.56999969482422","","","","","","","","","","","",""
"1078","","","","","","","","","","","","","57.29999923706055","57.29999923706055","57.29999923706055","","","","","","","","",""
"1131","","","","","","","","","","","","","","","","","","","55.220001220703125","55.220001220703125","55.220001220703125","68.75","68.75","68.75"
"1161","","","","","","","","","","","","","","","","63.15999984741211","63.15999984741211","63.15999984741211","","","","","",""
"1195","74.55000305175781","74.55000305175781","74.55000305175781","72.9800033569336","72.9800033569336","72.9800033569336","","","","","","","","","","","","","","","","","",""
"1197","","","","","","","","","","","","","64.94000244140625","64.94000244140625","64.94000244140625","","","","","","","","",""
"1198","","","","","","","78.5199966430664","78.5199966430664","78.5199966430664","76.79000091552734","76.79000091552734","76.79000091552734","","","","","","","","","","","",""
"1305","","","","","","","","","","","","","","","","","","","60.65999984741211","60.65999984741211","60.65999984741211","73.83999633789062","73.83999633789062","73.83999633789062"
"1340","","","","","","","","","","","","","","","","69.41000366210938","69.41000366210938","69.41000366210938","","","","","",""
"1346","73.79000091552734","73.79000091552734","73.79000091552734","77.1500015258789","77.1500015258789","77.1500015258789","","","","","","","","","","","","","","","","","",""
"1370","","","","","","","77.25","77.25","77.25","79.94999694824219","79.94999694824219","79.94999694824219","","","","","","","","","","","",""
"1376","","","","","","","","","","","","","66.20999908447266","66.20999908447266","66.20999908447266","","","","","","","","",""
"1393","","","","","","","","","","","","","","","","","","","64.16999816894531","64.16999816894531","64.16999816894531","","",""
"1433","","","","","","","","","","","","","","","","68.5","68.5","68.5","","","","","",""
"1479","","","","","","","","","","","","","","","","","","","","","","79.19000244140625","79.19000244140625","79.19000244140625"
"1533","79.54000091552734","79.54000091552734","79.54000091552734","77.25","77.25","77.25","","","","","","","","","","","","","","","","","",""
"1542","","","","","","","75.66999816894531","75.66999816894531","75.66999816894531","76.54000091552734","76.54000091552734","76.54000091552734","","","","","","","","","","","",""
"1555","","","","","","","","","","","","","67.33000183105469","67.33000183105469","67.33000183105469","","","","","","","","",""
"1567","","","","","","","","","","","","","","","","","","","71.6500015258789","71.6500015258789","71.6500015258789","","",""
"1612","","","","","","","","","","","","","","","","71.19999694824219","71.19999694824219","71.19999694824219","","","","","",""
"1653","","","","","","","","","","","","","","","","","","","","","","77.61000061035156","77.61000061035156","77.61000061035156"
"1684","83.26000213623047","83.26000213623047","83.26000213623047","78.22000122070312","78.22000122070312","78.22000122070312","","","","","","","","","","","","","","","","","",""
"1714","","","","","","","74.05000305175781","74.05000305175781","74.05000305175781","78.5199966430664","78.5199966430664","78.5199966430664","","","","","","","","","","","",""
"1734","","","","","","","","","","","","","70.18000030517578","70.18000030517578","70.18000030517578","","","","","","","","",""
"1741","","","","","","","","","","","","","","","","","","","73.02999877929688","73.02999877929688","73.02999877929688","","",""
"1784","","","","","","","","","","","","","","","","","","","","","","76.58999633789062","76.58999633789062","76.58999633789062"
"1791","","","","","","","","","","","","","","","","71.1500015258789","71.1500015258789","71.1500015258789","","","","","",""
"1871","81.31999969482422","81.31999969482422","81.31999969482422","76.73999786376953","76.73999786376953","76.73999786376953","","","","","","","","","","","","","","","","","",""
"1886","","","","","","","77.95999908447266","77.95999908447266","77.95999908447266","81.83000183105469","81.83000183105469","81.83000183105469","","","","","","","","","","","",""
"1913","","","","","","","","","","","","","73.08000183105469","73.08000183105469","73.08000183105469","","","","","","","","",""
"1915","","","","","","","","","","","","","","","","","","","72.16000366210938","72.16000366210938","72.16000366210938","","",""
"1958","","","","","","","","","","","","","","","","","","","","","","79.63999938964844","79.63999938964844","79.63999938964844"
"1970","","","","","","","","","","","","","","","","72.20999908447266","72.20999908447266","72.20999908447266","","","","","",""
"2022","79.94999694824219","79.94999694824219","79.94999694824219","74.61000061035156","74.61000061035156","74.61000061035156","","","","","","","","","","","","","","","","","",""
"2058","","","","","","","78.2699966430664","78.2699966430664","78.2699966430664","80.66000366210938","80.66000366210938","80.66000366210938","","","","","","","","","","","",""
