"Step","Group: text1-vision100 - evaluation/blimp/binding","Group: text1-vision100 - evaluation/blimp/binding__MIN","Group: text1-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision10 - evaluation/blimp/binding","Group: text1-vision10 - evaluation/blimp/binding__MIN","Group: text1-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision10 - evaluation/blimp/binding","Group: text10-vision10 - evaluation/blimp/binding__MIN","Group: text10-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision100 - evaluation/blimp/binding","Group: text10-vision100 - evaluation/blimp/binding__MIN","Group: text10-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision1 - evaluation/blimp/binding","Group: text1-vision1 - evaluation/blimp/binding__MIN","Group: text1-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision1 - evaluation/blimp/binding","Group: text10-vision1 - evaluation/blimp/binding__MIN","Group: text10-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision0 - evaluation/blimp/binding","Group: text10-vision0 - evaluation/blimp/binding__MIN","Group: text10-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision0 - evaluation/blimp/binding","Group: text1-vision0 - evaluation/blimp/binding__MIN","Group: text1-vision0 - evaluation/blimp/binding__MAX"
"87","","","","","","","","","","","","","","","","53.189998626708984","53.189998626708984","53.189998626708984","52.02000045776367","52.02000045776367","52.02000045776367","","",""
"130","","","","","","","","","","","","","","","","","","","","","","65.23999786376953","65.23999786376953","65.23999786376953"
"131","","","","","","","","","","","","","59.93000030517578","59.93000030517578","59.93000030517578","","","","","","","","",""
"145","65.26000213623047","65.26000213623047","65.26000213623047","64.88999938964844","64.88999938964844","64.88999938964844","","","","","","","","","","","","","","","","","",""
"166","","","","","","","65.3499984741211","65.3499984741211","65.3499984741211","65.63999938964844","65.63999938964844","65.63999938964844","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","65.16999816894531","65.16999816894531","65.16999816894531","","",""
"266","","","","","","","","","","","","","","","","65.7300033569336","65.7300033569336","65.7300033569336","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","65.31999969482422","65.31999969482422","65.31999969482422"
"332","65.66999816894531","65.66999816894531","65.66999816894531","65.97000122070312","65.97000122070312","65.97000122070312","","","","","","","","","","","","","","","","","",""
"333","","","","","","","","","","","","","65.31999969482422","65.31999969482422","65.31999969482422","","","","","","","","",""
"338","","","","","","","65.8499984741211","65.8499984741211","65.8499984741211","65.30000305175781","65.30000305175781","65.30000305175781","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","65.44999694824219","65.44999694824219","65.44999694824219","","",""
"445","","","","","","","","","","","","","","","","65.63999938964844","65.63999938964844","65.63999938964844","","","","","",""
"470","","","","","","","","","","","","","65.51000213623047","65.51000213623047","65.51000213623047","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","63.77000045776367","63.77000045776367","63.77000045776367"
"483","64.16000366210938","64.16000366210938","64.16000366210938","65.18000030517578","65.18000030517578","65.18000030517578","","","","","","","","","","","","","","","","","",""
"510","","","","","","","67.33000183105469","67.33000183105469","67.33000183105469","67.11000061035156","67.11000061035156","67.11000061035156","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","66.19000244140625","66.19000244140625","66.19000244140625","","",""
"624","","","","","","","","","","","","","","","","65.75","65.75","65.75","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","65.54000091552734","65.54000091552734","65.54000091552734"
"670","64.52999877929688","64.52999877929688","64.52999877929688","65.1500015258789","65.1500015258789","65.1500015258789","","","","","","","","","","","","","","","","","",""
"672","","","","","","","","","","","","","65.75","65.75","65.75","","","","","","","","",""
"682","","","","","","","63","63","63","64.66000366210938","64.66000366210938","64.66000366210938","","","","","","","","","","","",""
"783","","","","","","","","","","","","","","","","","","","65.63999938964844","65.63999938964844","65.63999938964844","","",""
"803","","","","","","","","","","","","","","","","64.37999725341797","64.37999725341797","64.37999725341797","","","","","",""
"809","","","","","","","","","","","","","65.2300033569336","65.2300033569336","65.2300033569336","","","","","","","","",""
"821","65.75","65.75","65.75","64.33999633789062","64.33999633789062","64.33999633789062","","","","","","","","","","","","","","","","","",""
"826","","","","","","","","","","","","","","","","","","","","","","63.63999938964844","63.63999938964844","63.63999938964844"
"854","","","","","","","58.099998474121094","58.099998474121094","58.099998474121094","59.470001220703125","59.470001220703125","59.470001220703125","","","","","","","","","","","",""
"957","","","","","","","","","","","","","","","","","","","63.95000076293945","63.95000076293945","63.95000076293945","62.349998474121094","62.349998474121094","62.349998474121094"
"982","","","","","","","","","","","","","","","","65.44999694824219","65.44999694824219","65.44999694824219","","","","","",""
"1008","59.470001220703125","59.470001220703125","59.470001220703125","60.970001220703125","60.970001220703125","60.970001220703125","","","","","","","","","","","","","","","","","",""
"1011","","","","","","","","","","","","","64.4000015258789","64.4000015258789","64.4000015258789","","","","","","","","",""
"1026","","","","","","","58.7400016784668","58.7400016784668","58.7400016784668","56.95000076293945","56.95000076293945","56.95000076293945","","","","","","","","","","","",""
"1078","","","","","","","","","","","","","63.91999816894531","63.91999816894531","63.91999816894531","","","","","","","","",""
"1131","","","","","","","","","","","","","","","","","","","66.1500015258789","66.1500015258789","66.1500015258789","58.619998931884766","58.619998931884766","58.619998931884766"
"1161","","","","","","","","","","","","","","","","64.37999725341797","64.37999725341797","64.37999725341797","","","","","",""
"1195","56.13999938964844","56.13999938964844","56.13999938964844","54.939998626708984","54.939998626708984","54.939998626708984","","","","","","","","","","","","","","","","","",""
"1197","","","","","","","","","","","","","64.5","64.5","64.5","","","","","","","","",""
"1198","","","","","","","57.95000076293945","57.95000076293945","57.95000076293945","59.06999969482422","59.06999969482422","59.06999969482422","","","","","","","","","","","",""
"1305","","","","","","","","","","","","","","","","","","","64.73999786376953","64.73999786376953","64.73999786376953","58.27000045776367","58.27000045776367","58.27000045776367"
"1340","","","","","","","","","","","","","","","","64.08000183105469","64.08000183105469","64.08000183105469","","","","","",""
