"Step","Group: text10-vision100 - evaluation/blimp/island_effects","Group: text10-vision100 - evaluation/blimp/island_effects__MIN","Group: text10-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision100 - evaluation/blimp/island_effects","Group: text1-vision100 - evaluation/blimp/island_effects__MIN","Group: text1-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision10 - evaluation/blimp/island_effects","Group: text1-vision10 - evaluation/blimp/island_effects__MIN","Group: text1-vision10 - evaluation/blimp/island_effects__MAX","Group: text10-vision10 - evaluation/blimp/island_effects","Group: text10-vision10 - evaluation/blimp/island_effects__MIN","Group: text10-vision10 - evaluation/blimp/island_effects__MAX","Group: text1-vision1 - evaluation/blimp/island_effects","Group: text1-vision1 - evaluation/blimp/island_effects__MIN","Group: text1-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision1 - evaluation/blimp/island_effects","Group: text10-vision1 - evaluation/blimp/island_effects__MIN","Group: text10-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision0 - evaluation/blimp/island_effects","Group: text10-vision0 - evaluation/blimp/island_effects__MIN","Group: text10-vision0 - evaluation/blimp/island_effects__MAX","Group: text1-vision0 - evaluation/blimp/island_effects","Group: text1-vision0 - evaluation/blimp/island_effects__MIN","Group: text1-vision0 - evaluation/blimp/island_effects__MAX"
"87","","","","","","","","","","","","","","","","53.77000045776367","53.77000045776367","53.77000045776367","53.849998474121094","53.849998474121094","53.849998474121094","","",""
"130","","","","","","","","","","","","","","","","","","","","","","54.33000183105469","54.33000183105469","54.33000183105469"
"131","","","","","","","","","","","","","53.54999923706055","53.54999923706055","53.54999923706055","","","","","","","","",""
"145","","","","54.11000061035156","54.11000061035156","54.11000061035156","54.11000061035156","54.11000061035156","54.11000061035156","","","","","","","","","","","","","","",""
"166","54.150001525878906","54.150001525878906","54.150001525878906","","","","","","","54.2599983215332","54.2599983215332","54.2599983215332","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","53.91999816894531","53.91999816894531","53.91999816894531","","",""
"266","","","","","","","","","","","","","","","","54.2599983215332","54.2599983215332","54.2599983215332","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","50.4900016784668","50.4900016784668","50.4900016784668"
"332","","","","52.77000045776367","52.77000045776367","52.77000045776367","53.099998474121094","53.099998474121094","53.099998474121094","","","","","","","","","","","","","","",""
"333","","","","","","","","","","","","","54.150001525878906","54.150001525878906","54.150001525878906","","","","","","","","",""
"338","53.400001525878906","53.400001525878906","53.400001525878906","","","","","","","52.09000015258789","52.09000015258789","52.09000015258789","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","53.91999816894531","53.91999816894531","53.91999816894531","","",""
"445","","","","","","","","","","","","","","","","50.34000015258789","50.34000015258789","50.34000015258789","","","","","",""
"470","","","","","","","","","","","","","51.41999816894531","51.41999816894531","51.41999816894531","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","54.779998779296875","54.779998779296875","54.779998779296875"
"483","","","","51.459999084472656","51.459999084472656","51.459999084472656","50.560001373291016","50.560001373291016","50.560001373291016","","","","","","","","","","","","","","",""
"510","53.959999084472656","53.959999084472656","53.959999084472656","","","","","","","51.459999084472656","51.459999084472656","51.459999084472656","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","51.310001373291016","51.310001373291016","51.310001373291016","","",""
"624","","","","","","","","","","","","","","","","49.029998779296875","49.029998779296875","49.029998779296875","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","52.880001068115234","52.880001068115234","52.880001068115234"
"670","","","","53.59000015258789","53.59000015258789","53.59000015258789","54.33000183105469","54.33000183105469","54.33000183105469","","","","","","","","","","","","","","",""
"672","","","","","","","","","","","","","52.31999969482422","52.31999969482422","52.31999969482422","","","","","","","","",""
"682","57.439998626708984","57.439998626708984","57.439998626708984","","","","","","","57.029998779296875","57.029998779296875","57.029998779296875","","","","","","","","","","","",""
"783","","","","","","","","","","","","","","","","","","","52.31999969482422","52.31999969482422","52.31999969482422","","",""
"803","","","","","","","","","","","","","","","","51.22999954223633","51.22999954223633","51.22999954223633","","","","","",""
"809","","","","","","","","","","","","","51.939998626708984","51.939998626708984","51.939998626708984","","","","","","","","",""
"821","","","","52.84000015258789","52.84000015258789","52.84000015258789","54.560001373291016","54.560001373291016","54.560001373291016","","","","","","","","","","","","","","",""
"826","","","","","","","","","","","","","","","","","","","","","","61.65999984741211","61.65999984741211","61.65999984741211"
"854","60.689998626708984","60.689998626708984","60.689998626708984","","","","","","","58.18000030517578","58.18000030517578","58.18000030517578","","","","","","","","","","","",""
"957","","","","","","","","","","","","","","","","","","","56.72999954223633","56.72999954223633","56.72999954223633","55.61000061035156","55.61000061035156","55.61000061035156"
"982","","","","","","","","","","","","","","","","51.4900016784668","51.4900016784668","51.4900016784668","","","","","",""
"1008","","","","49.33000183105469","49.33000183105469","49.33000183105469","52.90999984741211","52.90999984741211","52.90999984741211","","","","","","","","","","","","","","",""
"1011","","","","","","","","","","","","","53.47999954223633","53.47999954223633","53.47999954223633","","","","","","","","",""
"1026","46.939998626708984","46.939998626708984","46.939998626708984","","","","","","","43.56999969482422","43.56999969482422","43.56999969482422","","","","","","","","","","","",""
"1078","","","","","","","","","","","","","52.79999923706055","52.79999923706055","52.79999923706055","","","","","","","","",""
"1131","","","","","","","","","","","","","","","","","","","54.33000183105469","54.33000183105469","54.33000183105469","50.06999969482422","50.06999969482422","50.06999969482422"
"1161","","","","","","","","","","","","","","","","55.61000061035156","55.61000061035156","55.61000061035156","","","","","",""
"1195","","","","42.29999923706055","42.29999923706055","42.29999923706055","41.70000076293945","41.70000076293945","41.70000076293945","","","","","","","","","","","","","","",""
"1197","","","","","","","","","","","","","54.86000061035156","54.86000061035156","54.86000061035156","","","","","","","","",""
"1198","40.65999984741211","40.65999984741211","40.65999984741211","","","","","","","41.439998626708984","41.439998626708984","41.439998626708984","","","","","","","","","","","",""
"1305","","","","","","","","","","","","","","","","","","","57.54999923706055","57.54999923706055","57.54999923706055","42.34000015258789","42.34000015258789","42.34000015258789"
"1340","","","","","","","","","","","","","","","","55.119998931884766","55.119998931884766","55.119998931884766","","","","","",""
"1346","","","","36.209999084472656","36.209999084472656","36.209999084472656","39.2400016784668","39.2400016784668","39.2400016784668","","","","","","","","","","","","","","",""
"1370","39.7599983215332","39.7599983215332","39.7599983215332","","","","","","","40.130001068115234","40.130001068115234","40.130001068115234","","","","","","","","","","","",""
"1376","","","","","","","","","","","","","52.16999816894531","52.16999816894531","52.16999816894531","","","","","","","","",""
"1393","","","","","","","","","","","","","","","","","","","55.720001220703125","55.720001220703125","55.720001220703125","","",""
"1433","","","","","","","","","","","","","","","","59.15999984741211","59.15999984741211","59.15999984741211","","","","","",""
"1479","","","","","","","","","","","","","","","","","","","","","","38.56999969482422","38.56999969482422","38.56999969482422"
"1533","","","","36.290000915527344","36.290000915527344","36.290000915527344","37.779998779296875","37.779998779296875","37.779998779296875","","","","","","","","","","","","","","",""
"1542","37.59000015258789","37.59000015258789","37.59000015258789","","","","","","","39.04999923706055","39.04999923706055","39.04999923706055","","","","","","","","","","","",""
"1555","","","","","","","","","","","","","54.86000061035156","54.86000061035156","54.86000061035156","","","","","","","","",""
"1567","","","","","","","","","","","","","","","","","","","61.54999923706055","61.54999923706055","61.54999923706055","","",""
"1612","","","","","","","","","","","","","","","","59.75","59.75","59.75","","","","","",""
"1653","","","","","","","","","","","","","","","","","","","","","","36.91999816894531","36.91999816894531","36.91999816894531"
"1684","","","","37.33000183105469","37.33000183105469","37.33000183105469","37.06999969482422","37.06999969482422","37.06999969482422","","","","","","","","","","","","","","",""
"1714","38.040000915527344","38.040000915527344","38.040000915527344","","","","","","","39.56999969482422","39.56999969482422","39.56999969482422","","","","","","","","","","","",""
"1734","","","","","","","","","","","","","57.849998474121094","57.849998474121094","57.849998474121094","","","","","","","","",""
"1741","","","","","","","","","","","","","","","","","","","58.18000030517578","58.18000030517578","58.18000030517578","","",""
"1784","","","","","","","","","","","","","","","","","","","","","","37.86000061035156","37.86000061035156","37.86000061035156"
"1791","","","","","","","","","","","","","","","","55.97999954223633","55.97999954223633","55.97999954223633","","","","","",""
"1871","","","","37.7400016784668","37.7400016784668","37.7400016784668","37.779998779296875","37.779998779296875","37.779998779296875","","","","","","","","","","","","","","",""
"1886","40.099998474121094","40.099998474121094","40.099998474121094","","","","","","","40.58000183105469","40.58000183105469","40.58000183105469","","","","","","","","","","","",""
"1913","","","","","","","","","","","","","55.63999938964844","55.63999938964844","55.63999938964844","","","","","","","","",""
"1915","","","","","","","","","","","","","","","","","","","50.63999938964844","50.63999938964844","50.63999938964844","","",""
"1958","","","","","","","","","","","","","","","","","","","","","","38.41999816894531","38.41999816894531","38.41999816894531"
"1970","","","","","","","","","","","","","","","","53.029998779296875","53.029998779296875","53.029998779296875","","","","","",""
"2022","","","","38.68000030517578","38.68000030517578","38.68000030517578","38.41999816894531","38.41999816894531","38.41999816894531","","","","","","","","","","","","","","",""
