"Step","Group: text10-vision10 - evaluation/blimp/npi_licensing","Group: text10-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision100 - evaluation/blimp/npi_licensing","Group: text10-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision100 - evaluation/blimp/npi_licensing","Group: text1-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision10 - evaluation/blimp/npi_licensing","Group: text1-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision1 - evaluation/blimp/npi_licensing","Group: text1-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision1 - evaluation/blimp/npi_licensing","Group: text10-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision0 - evaluation/blimp/npi_licensing","Group: text10-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision0 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision0 - evaluation/blimp/npi_licensing","Group: text1-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision0 - evaluation/blimp/npi_licensing__MAX"
"87","","","","","","","","","","","","","","","","61.869998931884766","61.869998931884766","61.869998931884766","60.41999816894531","60.41999816894531","60.41999816894531","","",""
"130","","","","","","","","","","","","","","","","","","","","","","52.880001068115234","52.880001068115234","52.880001068115234"
"131","","","","","","","","","","","","","66.69999694824219","66.69999694824219","66.69999694824219","","","","","","","","",""
"145","","","","","","","50.72999954223633","50.72999954223633","50.72999954223633","50.54999923706055","50.54999923706055","50.54999923706055","","","","","","","","","","","",""
"166","49.880001068115234","49.880001068115234","49.880001068115234","49.97999954223633","49.97999954223633","49.97999954223633","","","","","","","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","52.790000915527344","52.790000915527344","52.790000915527344","","",""
"266","","","","","","","","","","","","","","","","50.560001373291016","50.560001373291016","50.560001373291016","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","49.7599983215332","49.7599983215332","49.7599983215332"
"332","","","","","","","47.119998931884766","47.119998931884766","47.119998931884766","46.720001220703125","46.720001220703125","46.720001220703125","","","","","","","","","","","",""
"333","","","","","","","","","","","","","50.02000045776367","50.02000045776367","50.02000045776367","","","","","","","","",""
"338","45.130001068115234","45.130001068115234","45.130001068115234","40.38999938964844","40.38999938964844","40.38999938964844","","","","","","","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","49.31999969482422","49.31999969482422","49.31999969482422","","",""
"445","","","","","","","","","","","","","","","","49.209999084472656","49.209999084472656","49.209999084472656","","","","","",""
"470","","","","","","","","","","","","","50.029998779296875","50.029998779296875","50.029998779296875","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","33.619998931884766","33.619998931884766","33.619998931884766"
