"Step","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement__MAX"
"87","","","","","","","","","","","","","","","","47.59000015258789","47.59000015258789","47.59000015258789","48.93000030517578","48.93000030517578","48.93000030517578","","",""
"130","","","","","","","","","","","","","","","","","","","","","","48.90999984741211","48.90999984741211","48.90999984741211"
"131","","","","","","","","","","","","","49.38999938964844","49.38999938964844","49.38999938964844","","","","","","","","",""
"145","","","","","","","48.5099983215332","48.5099983215332","48.5099983215332","48.36000061035156","48.36000061035156","48.36000061035156","","","","","","","","","","","",""
"166","48.20000076293945","48.20000076293945","48.20000076293945","47.81999969482422","47.81999969482422","47.81999969482422","","","","","","","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","48.619998931884766","48.619998931884766","48.619998931884766","","",""
"266","","","","","","","","","","","","","","","","48.689998626708984","48.689998626708984","48.689998626708984","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","50.529998779296875","50.529998779296875","50.529998779296875"
"332","","","","","","","50.93000030517578","50.93000030517578","50.93000030517578","50.529998779296875","50.529998779296875","50.529998779296875","","","","","","","","","","","",""
"333","","","","","","","","","","","","","48.310001373291016","48.310001373291016","48.310001373291016","","","","","","","","",""
"338","49.25","49.25","49.25","49.15999984741211","49.15999984741211","49.15999984741211","","","","","","","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","48.7400016784668","48.7400016784668","48.7400016784668","","",""
"445","","","","","","","","","","","","","","","","50.790000915527344","50.790000915527344","50.790000915527344","","","","","",""
"470","","","","","","","","","","","","","51.20000076293945","51.20000076293945","51.20000076293945","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","50.65999984741211","50.65999984741211","50.65999984741211"
"483","","","","","","","50.5","50.5","50.5","50.40999984741211","50.40999984741211","50.40999984741211","","","","","","","","","","","",""
"510","50.529998779296875","50.529998779296875","50.529998779296875","50.68000030517578","50.68000030517578","50.68000030517578","","","","","","","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","50.84000015258789","50.84000015258789","50.84000015258789","","",""
"624","","","","","","","","","","","","","","","","50.47999954223633","50.47999954223633","50.47999954223633","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","50.5","50.5","50.5"
"670","","","","","","","51.2400016784668","51.2400016784668","51.2400016784668","50.529998779296875","50.529998779296875","50.529998779296875","","","","","","","","","","","",""
"672","","","","","","","","","","","","","50.119998931884766","50.119998931884766","50.119998931884766","","","","","","","","",""
"682","51.599998474121094","51.599998474121094","51.599998474121094","51.869998931884766","51.869998931884766","51.869998931884766","","","","","","","","","","","","","","","","","",""
"783","","","","","","","","","","","","","","","","","","","50.619998931884766","50.619998931884766","50.619998931884766","","",""
"803","","","","","","","","","","","","","","","","50.33000183105469","50.33000183105469","50.33000183105469","","","","","",""
"809","","","","","","","","","","","","","50.0099983215332","50.0099983215332","50.0099983215332","","","","","","","","",""
"821","","","","","","","51.20000076293945","51.20000076293945","51.20000076293945","50.439998626708984","50.439998626708984","50.439998626708984","","","","","","","","","","","",""
"826","","","","","","","","","","","","","","","","","","","","","","50.439998626708984","50.439998626708984","50.439998626708984"
"854","51.7599983215332","51.7599983215332","51.7599983215332","51.41999816894531","51.41999816894531","51.41999816894531","","","","","","","","","","","","","","","","","",""
"957","","","","","","","","","","","","","","","","","","","50.619998931884766","50.619998931884766","50.619998931884766","51.5099983215332","51.5099983215332","51.5099983215332"
"982","","","","","","","","","","","","","","","","50.2400016784668","50.2400016784668","50.2400016784668","","","","","",""
"1008","","","","","","","51.90999984741211","51.90999984741211","51.90999984741211","50.029998779296875","50.029998779296875","50.029998779296875","","","","","","","","","","","",""
"1011","","","","","","","","","","","","","50.72999954223633","50.72999954223633","50.72999954223633","","","","","","","","",""
"1026","50.86000061035156","50.86000061035156","50.86000061035156","51.91999816894531","51.91999816894531","51.91999816894531","","","","","","","","","","","","","","","","","",""
"1078","","","","","","","","","","","","","50.63999938964844","50.63999938964844","50.63999938964844","","","","","","","","",""
"1131","","","","","","","","","","","","","","","","","","","50.84000015258789","50.84000015258789","50.84000015258789","51.88999938964844","51.88999938964844","51.88999938964844"
"1161","","","","","","","","","","","","","","","","50.5099983215332","50.5099983215332","50.5099983215332","","","","","",""
"1195","","","","","","","51.16999816894531","51.16999816894531","51.16999816894531","49.7400016784668","49.7400016784668","49.7400016784668","","","","","","","","","","","",""
"1197","","","","","","","","","","","","","51.36000061035156","51.36000061035156","51.36000061035156","","","","","","","","",""
"1198","51.20000076293945","51.20000076293945","51.20000076293945","50.95000076293945","50.95000076293945","50.95000076293945","","","","","","","","","","","","","","","","","",""
"1305","","","","","","","","","","","","","","","","","","","50.619998931884766","50.619998931884766","50.619998931884766","51.91999816894531","51.91999816894531","51.91999816894531"
