"Step","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1__MAX","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1__MAX","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1__MAX"
"87","","","","","","","","","","","","","","","","0.001060169655829668","0.001060169655829668","0.001060169655829668"
"145","","","","","","","0.0008601892623119056","0.0008601892623119056","0.0008601892623119056","0.0007401628536172211","0.0007401628536172211","0.0007401628536172211","","","","","",""
"266","","","","","","","","","","","","","","","","0.0011201791930943727","0.0011201791930943727","0.0011201791930943727"
"332","","","","","","","0.000700154050718993","0.000700154050718993","0.000700154050718993","0.000960211269557476","0.000960211269557476","0.000960211269557476","","","","","",""
"445","","","","","","","","","","","","","","","","0.0012602016795426607","0.0012602016795426607","0.0012602016795426607"
"483","","","","","","","0.0012802816927433014","0.0012802816927433014","0.0012802816927433014","0.0011402508243918419","0.0011402508243918419","0.0011402508243918419","","","","","",""
"624","","","","","","","","","","","","","","","","0.0009801568230614066","0.0009801568230614066","0.0009801568230614066"
"670","","","","","","","0.001440316904336214","0.001440316904336214","0.001440316904336214","0.0008801936637610197","0.0008801936637610197","0.0008801936637610197","","","","","",""
"803","","","","","","","","","","","","","","","","0.0008201312157325447","0.0008201312157325447","0.0008201312157325447"
"821","","","","","","","0.0011402508243918419","0.0011402508243918419","0.0011402508243918419","0.0008001760579645634","0.0008001760579645634","0.0008001760579645634","","","","","",""
"982","","","","","","","","","","","","","","","","0.0011401823721826077","0.0011401823721826077","0.0011401823721826077"
"1008","","","","","","","0.0009802156127989292","0.0009802156127989292","0.0009802156127989292","0.000940206868108362","0.000940206868108362","0.000940206868108362","","","","","",""
"1078","","","","","","","","","","","","","0.0036005761940032244","0.0036005761940032244","0.0036005761940032244","","",""
"1161","","","","","","","","","","","","","","","","0.0008601376321166754","0.0008601376321166754","0.0008601376321166754"
"1195","","","","","","","0.0011002420214936137","0.0011002420214936137","0.0011002420214936137","0.0010802376782521605","0.0010802376782521605","0.0010802376782521605","","","","","",""
"1197","","","","","","","","","","","","","0.004060649778693914","0.004060649778693914","0.004060649778693914","","",""
"1340","","","","","","","","","","","","","","","","0.001080172834917903","0.001080172834917903","0.001080172834917903"
"1346","","","","","","","0.001200264086946845","0.001200264086946845","0.001200264086946845","0.0010202244156971574","0.0010202244156971574","0.0010202244156971574","","","","","",""
"1376","","","","","","","","","","","","","0.004200672265142202","0.004200672265142202","0.004200672265142202","","",""
"1433","","","","","","","","","","","","","","","","0.0010001600021496415","0.0010001600021496415","0.0010001600021496415"
"1533","","","","","","","0.0010002200724557042","0.0010002200724557042","0.0010002200724557042","0.0010202244156971574","0.0010202244156971574","0.0010202244156971574","","","","","",""
"1555","","","","","","","","","","","","","0.003960633650422096","0.003960633650422096","0.003960633650422096","","",""
"1612","","","","","","","","","","","","","","","","0.0009401504066772759","0.0009401504066772759","0.0009401504066772759"
"1684","","","","","","","0.0010402288753539324","0.0010402288753539324","0.0010402288753539324","0.0009001980652101338","0.0009001980652101338","0.0009001980652101338","","","","","",""
"1734","","","","","","","","","","","","","0.0044607138261199","0.0044607138261199","0.0044607138261199","","",""
"1791","","","","","","","","","","","","","","","","0.0010001600021496415","0.0010001600021496415","0.0010001600021496415"
"1871","","","","","","","0.000960211269557476","0.000960211269557476","0.000960211269557476","0.0010402288753539324","0.0010402288753539324","0.0010402288753539324","","","","","",""
"1913","","","","","","","","","","","","","0.004260681569576263","0.004260681569576263","0.004260681569576263","","",""
"1970","","","","","","","","","","","","","","","","0.0009401504066772759","0.0009401504066772759","0.0009401504066772759"
"2022","","","","","","","0.0012802816927433014","0.0012802816927433014","0.0012802816927433014","0.0010602332185953856","0.0010602332185953856","0.0010602332185953856","","","","","",""
"2092","","","","","","","","","","","","","0.0039206272922456264","0.0039206272922456264","0.0039206272922456264","","",""
"2149","","","","","","","","","","","","","","","","0.0007801247993484139","0.0007801247993484139","0.0007801247993484139"
"2209","","","","","","","0.0010202244156971574","0.0010202244156971574","0.0010202244156971574","0.0008201804594136775","0.0008201804594136775","0.0008201804594136775","","","","","",""
"2271","","","","","","","","","","","","","0.0039006241131573915","0.0039006241131573915","0.0039006241131573915","","",""
"2328","","","","","","","","","","","","","","","","0.000620099192019552","0.000620099192019552","0.000620099192019552"
"2396","","","","","","","0.001200264086946845","0.001200264086946845","0.001200264086946845","0.0011602552840486169","0.0011602552840486169","0.0011602552840486169","","","","","",""
"2450","","","","","","","","","","","","","0.004140662495046854","0.004140662495046854","0.004140662495046854","","",""
"2507","","","","","","","","","","","","","","","","0.0005200832383707166","0.0005200832383707166","0.0005200832383707166"
"2543","","","","","","","","","","","","","0.0039206272922456264","0.0039206272922456264","0.0039206272922456264","","",""
"2547","","","","","","","0.00118025962729007","0.00118025962729007","0.00118025962729007","0.0010202244156971574","0.0010202244156971574","0.0010202244156971574","","","","","",""
"2614","0.012121939100325108","0.012121939100325108","0.012121939100325108","","","","","","","","","","","","","","",""
"2686","","","","","","","","","","","","","","","","0.0008201312157325447","0.0008201312157325447","0.0008201312157325447"
"2700","","","","0.0008001280366443098","0.0008001280366443098","0.0008001280366443098","","","","","","","","","","","",""
"2722","","","","","","","","","","","","","0.004160665906965733","0.004160665906965733","0.004160665906965733","","",""
"2734","","","","","","","0.0012802816927433014","0.0012802816927433014","0.0012802816927433014","0.0008801936637610197","0.0008801936637610197","0.0008801936637610197","","","","","",""
"2793","0.011701872572302818","0.011701872572302818","0.011701872572302818","","","","","","","","","","","","","","",""
"2865","","","","","","","","","","","","","","","","0.0006000960129313171","0.0006000960129313171","0.0006000960129313171"
"2879","","","","0.0007801247993484139","0.0007801247993484139","0.0007801247993484139","","","","","","","","","","","",""
"2885","","","","","","","0.0009802156127989292","0.0009802156127989292","0.0009802156127989292","0.0011202464811503887","0.0011202464811503887","0.0011202464811503887","","","","","",""
"2901","","","","","","","","","","","","","0.003500560065731406","0.003500560065731406","0.003500560065731406","","",""
"2958","","","","","","","","","","","","","","","","0.0006601056084036827","0.0006601056084036827","0.0006601056084036827"
"2972","0.013602176681160927","0.013602176681160927","0.013602176681160927","","","","","","","","","","","","","","",""
"3058","","","","0.000760121620260179","0.000760121620260179","0.000760121620260179","","","","","","","","","","","",""
"3072","","","","","","","0.0010002200724557042","0.0010002200724557042","0.0010002200724557042","0.0011002420214936137","0.0011002420214936137","0.0011002420214936137","","","","","",""
"3080","","","","","","","","","","","","","0.0038006079848855734","0.0038006079848855734","0.0038006079848855734","","",""
"3137","","","","","","","","","","","","","","","","0.0006401024293154478","0.0006401024293154478","0.0006401024293154478"
"3151","0.013182109221816063","0.013182109221816063","0.013182109221816063","","","","","","","","","","","","","","",""
"3223","","","","","","","0.0012202684301882982","0.0012202684301882982","0.0012202684301882982","0.0007601672550663352","0.0007601672550663352","0.0007601672550663352","","","","","",""
"3237","","","","0.0005600895965471864","0.0005600895965471864","0.0005600895965471864","","","","","","","","","","","",""
"3259","","","","","","","","","","","","","0.0036005761940032244","0.0036005761940032244","0.0036005761940032244","","",""
"3316","","","","","","","","","","","","","","","","0.0007401184411719441","0.0007401184411719441","0.0007401184411719441"
"3330","0.013162106275558472","0.013162106275558472","0.013162106275558472","","","","","","","","","","","","","","",""
"3410","","","","","","","0.0012802816927433014","0.0012802816927433014","0.0012802816927433014","0.0008201804594136775","0.0008201804594136775","0.0008201804594136775","","","","","",""
"3416","","","","0.0005200832383707166","0.0005200832383707166","0.0005200832383707166","","","","","","","","","","","",""
"3438","","","","","","","","","","","","","0.004020643420517445","0.004020643420517445","0.004020643420517445","","",""
"3495","","","","","","","","","","","","","","","","0.0007001120247878134","0.0007001120247878134","0.0007001120247878134"
"3509","0.013622179627418518","0.013622179627418518","0.013622179627418518","","","","","","","","","","","","","","",""
"3595","","","","0.0007401184411719441","0.0007401184411719441","0.0007401184411719441","","","","","","","","","","","",""
"3597","","","","","","","0.0012202684301882982","0.0012202684301882982","0.0012202684301882982","0.0010202244156971574","0.0010202244156971574","0.0010202244156971574","","","","","",""
"3617","","","","","","","","","","","","","0.0037405984476208687","0.0037405984476208687","0.0037405984476208687","","",""
"3674","","","","","","","","","","","","","","","","0.0008801408112049103","0.0008801408112049103","0.0008801408112049103"
"3688","0.013222115114331245","0.013222115114331245","0.013222115114331245","","","","","","","","","","","","","","",""
"3748","","","","","","","0.0010802376782521605","0.0010802376782521605","0.0010802376782521605","0.0010202244156971574","0.0010202244156971574","0.0010202244156971574","","","","","",""
"3774","","","","0.0007001120247878134","0.0007001120247878134","0.0007001120247878134","","","","","","","","","","","",""
"3781","0.012201952748000622","0.012201952748000622","0.012201952748000622","","","","","","","","","","","","","","",""
"3796","","","","","","","","","","","","","0.0034405505284667015","0.0034405505284667015","0.0034405505284667015","","",""
"3853","","","","","","","","","","","","","","","","0.0008801408112049103","0.0008801408112049103","0.0008801408112049103"
"3935","","","","","","","0.00118025962729007","0.00118025962729007","0.00118025962729007","0.0009001980652101338","0.0009001980652101338","0.0009001980652101338","","","","","",""
"3949","","","","","","","","","","","","","0.0039206272922456264","0.0039206272922456264","0.0039206272922456264","","",""
"3953","","","","0.0007201152038760483","0.0007201152038760483","0.0007201152038760483","","","","","","","","","","","",""
"3960","0.012582013383507729","0.012582013383507729","0.012582013383507729","","","","","","","","","","","","","","",""
"4032","","","","","","","","","","","","","","","","0.0007801247993484139","0.0007801247993484139","0.0007801247993484139"
"4046","","","","0.0008601376321166754","0.0008601376321166754","0.0008601376321166754","","","","","","","","","","","",""
"4068","","","","","","","","","","","","","0.0034205473493784666","0.0034205473493784666","0.0034205473493784666","","",""
"4086","","","","","","","0.0011202464811503887","0.0011202464811503887","0.0011202464811503887","0.000940206868108362","0.000940206868108362","0.000940206868108362","","","","","",""
"4139","0.012281965464353561","0.012281965464353561","0.012281965464353561","","","","","","","","","","","","","","",""
"4211","","","","","","","","","","","","","","","","0.0006601056084036827","0.0006601056084036827","0.0006601056084036827"
"4225","","","","0.0005600895965471864","0.0005600895965471864","0.0005600895965471864","","","","","","","","","","","",""
"4247","","","","","","","","","","","","","0.004180668853223324","0.004180668853223324","0.004180668853223324","","",""
"4273","","","","","","","0.0012202684301882982","0.0012202684301882982","0.0012202684301882982","0.0010202244156971574","0.0010202244156971574","0.0010202244156971574","","","","","",""
"4304","","","","","","","","","","","","","","","","0.0007401184411719441","0.0007401184411719441","0.0007401184411719441"
"4318","0.012922067195177078","0.012922067195177078","0.012922067195177078","","","","","","","","","","","","","","",""
"4404","","","","0.0006000960129313171","0.0006000960129313171","0.0006000960129313171","","","","","","","","","","","",""
"4424","","","","","","","0.00118025962729007","0.00118025962729007","0.00118025962729007","0.0009001980652101338","0.0009001980652101338","0.0009001980652101338","","","","","",""
"4426","","","","","","","","","","","","","0.0037405984476208687","0.0037405984476208687","0.0037405984476208687","","",""
"4483","","","","","","","","","","","","","","","","0.0007001120247878134","0.0007001120247878134","0.0007001120247878134"
"4497","0.012542006559669971","0.012542006559669971","0.012542006559669971","","","","","","","","","","","","","","",""
"4583","","","","0.0005200832383707166","0.0005200832383707166","0.0005200832383707166","","","","","","","","","","","",""
"4605","","","","","","","","","","","","","0.003840614575892687","0.003840614575892687","0.003840614575892687","","",""
"4611","","","","","","","0.0010802376782521605","0.0010802376782521605","0.0010802376782521605","0.0011002420214936137","0.0011002420214936137","0.0011002420214936137","","","","","",""
"4662","","","","","","","","","","","","","","","","0.0006601056084036827","0.0006601056084036827","0.0006601056084036827"
"4676","0.010921747423708439","0.010921747423708439","0.010921747423708439","","","","","","","","","","","","","","",""
"4762","","","","0.0002800447982735932","0.0002800447982735932","0.0002800447982735932","","","","","","","","","","","",""
"4784","","","","","","","","","","","","","0.004060649778693914","0.004060649778693914","0.004060649778693914","","",""
"4798","","","","","","","0.0010602332185953856","0.0010602332185953856","0.0010602332185953856","0.0012402728898450732","0.0012402728898450732","0.0012402728898450732","","","","","",""
"4841","","","","","","","","","","","","","","","","0.0008401343948207796","0.0008401343948207796","0.0008401343948207796"
"4855","0.010981757193803787","0.010981757193803787","0.010981757193803787","","","","","","","","","","","","","","",""
"4941","","","","0.0005800928338430822","0.0005800928338430822","0.0005800928338430822","","","","","","","","","","","",""
"4949","","","","","","","0.0009202024666592479","0.0009202024666592479","0.0009202024666592479","0.00118025962729007","0.00118025962729007","0.00118025962729007","","","","","",""
"4963","","","","","","","","","","","","","0.0034005441702902317","0.0034005441702902317","0.0034005441702902317","","",""
"5020","","","","","","","","","","","","","","","","0.000760121620260179","0.000760121620260179","0.000760121620260179"
"5034","0.01148183736950159","0.01148183736950159","0.01148183736950159","","","","","","","","","","","","","","",""
"5120","","","","0.0004600736137945205","0.0004600736137945205","0.0004600736137945205","","","","","","","","","","","",""
"5127","0.010881741531193256","0.010881741531193256","0.010881741531193256","","","","","","","","","","","","","","",""
"5136","","","","","","","0.0009802156127989292","0.0009802156127989292","0.0009802156127989292","0.0008801936637610197","0.0008801936637610197","0.0008801936637610197","","","","","",""
"5142","","","","","","","","","","","","","0.003500560065731406","0.003500560065731406","0.003500560065731406","","",""
"5199","","","","","","","","","","","","","","","","0.0008801408112049103","0.0008801408112049103","0.0008801408112049103"
"5287","","","","","","","0.0008401848608627915","0.0008401848608627915","0.0008401848608627915","0.0010202244156971574","0.0010202244156971574","0.0010202244156971574","","","","","",""
"5299","","","","0.00044007040560245514","0.00044007040560245514","0.00044007040560245514","","","","","","","","","","","",""
"5306","0.01164186280220747","0.01164186280220747","0.01164186280220747","","","","","","","","","","","","","","",""
"5321","","","","","","","","","","","","","0.003580572782084346","0.003580572782084346","0.003580572782084346","","",""
"5330","","","","","","","0.003640582552179694","0.003640582552179694","0.003640582552179694","0.001841178396716714","0.001841178396716714","0.001841178396716714","","","","","",""
"5378","","","","","","","","","","","","","","","","0.0007801247993484139","0.0007801247993484139","0.0007801247993484139"
"5414","","","","","","","","","","","","","0.003640582552179694","0.003640582552179694","0.003640582552179694","","",""
"5478","","","","0.00044007040560245514","0.00044007040560245514","0.00044007040560245514","","","","","","","","","","","",""
"5485","0.011761882342398167","0.011761882342398167","0.011761882342398167","","","","","","","","","","","","","","",""
"5509","","","","","","","0.005680908914655447","0.005680908914655447","0.005680908914655447","0.005803714506328106","0.005803714506328106","0.005803714506328106","","","","","",""
"5557","","","","","","","","","","","","","","","","0.0010201631812378764","0.0010201631812378764","0.0010201631812378764"
"5571","","","","0.0005800928338430822","0.0005800928338430822","0.0005800928338430822","","","","","","","","","","","",""
"5593","","","","","","","","","","","","","0.0038006079848855734","0.0038006079848855734","0.0038006079848855734","","",""
"5664","0.01244199089705944","0.01244199089705944","0.01244199089705944","","","","","","","","","","","","","","",""
"5688","","","","","","","0.006601056084036827","0.006601056084036827","0.006601056084036827","0.005163304507732391","0.005163304507732391","0.005163304507732391","","","","","",""
"5736","","","","","","","","","","","","","","","","0.0009001440485008061","0.0009001440485008061","0.0009001440485008061"
"5750","","","","0.0005800928338430822","0.0005800928338430822","0.0005800928338430822","","","","","","","","","","","",""
"5772","","","","","","","","","","","","","0.003940630704164505","0.003940630704164505","0.003940630704164505","","",""
