"Step","Group: text1-vision100 - evaluation/blimp/control_raising","Group: text1-vision100 - evaluation/blimp/control_raising__MIN","Group: text1-vision100 - evaluation/blimp/control_raising__MAX","Group: text1-vision10 - evaluation/blimp/control_raising","Group: text1-vision10 - evaluation/blimp/control_raising__MIN","Group: text1-vision10 - evaluation/blimp/control_raising__MAX","Group: text10-vision10 - evaluation/blimp/control_raising","Group: text10-vision10 - evaluation/blimp/control_raising__MIN","Group: text10-vision10 - evaluation/blimp/control_raising__MAX","Group: text10-vision100 - evaluation/blimp/control_raising","Group: text10-vision100 - evaluation/blimp/control_raising__MIN","Group: text10-vision100 - evaluation/blimp/control_raising__MAX","Group: text1-vision1 - evaluation/blimp/control_raising","Group: text1-vision1 - evaluation/blimp/control_raising__MIN","Group: text1-vision1 - evaluation/blimp/control_raising__MAX","Group: text10-vision1 - evaluation/blimp/control_raising","Group: text10-vision1 - evaluation/blimp/control_raising__MIN","Group: text10-vision1 - evaluation/blimp/control_raising__MAX","Group: text10-vision0 - evaluation/blimp/control_raising","Group: text10-vision0 - evaluation/blimp/control_raising__MIN","Group: text10-vision0 - evaluation/blimp/control_raising__MAX","Group: text1-vision0 - evaluation/blimp/control_raising","Group: text1-vision0 - evaluation/blimp/control_raising__MIN","Group: text1-vision0 - evaluation/blimp/control_raising__MAX"
"87","","","","","","","","","","","","","","","","50.529998779296875","50.529998779296875","50.529998779296875","50.970001220703125","50.970001220703125","50.970001220703125","","",""
"130","","","","","","","","","","","","","","","","","","","","","","53.310001373291016","53.310001373291016","53.310001373291016"
"131","","","","","","","","","","","","","50.5099983215332","50.5099983215332","50.5099983215332","","","","","","","","",""
"145","54.75","54.75","54.75","54.880001068115234","54.880001068115234","54.880001068115234","","","","","","","","","","","","","","","","","",""
"166","","","","","","","55.47999954223633","55.47999954223633","55.47999954223633","56.08000183105469","56.08000183105469","56.08000183105469","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","53.66999816894531","53.66999816894531","53.66999816894531","","",""
"266","","","","","","","","","","","","","","","","54.56999969482422","54.56999969482422","54.56999969482422","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","57.529998779296875","57.529998779296875","57.529998779296875"
"332","58.68000030517578","58.68000030517578","58.68000030517578","58.290000915527344","58.290000915527344","58.290000915527344","","","","","","","","","","","","","","","","","",""
"333","","","","","","","","","","","","","55.86000061035156","55.86000061035156","55.86000061035156","","","","","","","","",""
"338","","","","","","","58.33000183105469","58.33000183105469","58.33000183105469","58.529998779296875","58.529998779296875","58.529998779296875","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","55.77000045776367","55.77000045776367","55.77000045776367","","",""
"445","","","","","","","","","","","","","","","","56.97999954223633","56.97999954223633","56.97999954223633","","","","","",""
"470","","","","","","","","","","","","","58.349998474121094","58.349998474121094","58.349998474121094","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","58.5099983215332","58.5099983215332","58.5099983215332"
"483","58.459999084472656","58.459999084472656","58.459999084472656","58.349998474121094","58.349998474121094","58.349998474121094","","","","","","","","","","","","","","","","","",""
"510","","","","","","","59.209999084472656","59.209999084472656","59.209999084472656","59.369998931884766","59.369998931884766","59.369998931884766","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","57.619998931884766","57.619998931884766","57.619998931884766","","",""
"624","","","","","","","","","","","","","","","","58.11000061035156","58.11000061035156","58.11000061035156","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","58.970001220703125","58.970001220703125","58.970001220703125"
"670","58.65999984741211","58.65999984741211","58.65999984741211","58.65999984741211","58.65999984741211","58.65999984741211","","","","","","","","","","","","","","","","","",""
"672","","","","","","","","","","","","","58.41999816894531","58.41999816894531","58.41999816894531","","","","","","","","",""
"682","","","","","","","59.630001068115234","59.630001068115234","59.630001068115234","59.790000915527344","59.790000915527344","59.790000915527344","","","","","","","","","","","",""
"783","","","","","","","","","","","","","","","","","","","57.529998779296875","57.529998779296875","57.529998779296875","","",""
"803","","","","","","","","","","","","","","","","58.84000015258789","58.84000015258789","58.84000015258789","","","","","",""
"809","","","","","","","","","","","","","58.5099983215332","58.5099983215332","58.5099983215332","","","","","","","","",""
"821","59.040000915527344","59.040000915527344","59.040000915527344","59.040000915527344","59.040000915527344","59.040000915527344","","","","","","","","","","","","","","","","","",""
"826","","","","","","","","","","","","","","","","","","","","","","59.68000030517578","59.68000030517578","59.68000030517578"
"854","","","","","","","59.77000045776367","59.77000045776367","59.77000045776367","59.900001525878906","59.900001525878906","59.900001525878906","","","","","","","","","","","",""
