"Step","Group: text10-vision10 - evaluation/blimp/ellipsis","Group: text10-vision10 - evaluation/blimp/ellipsis__MIN","Group: text10-vision10 - evaluation/blimp/ellipsis__MAX","Group: text10-vision100 - evaluation/blimp/ellipsis","Group: text10-vision100 - evaluation/blimp/ellipsis__MIN","Group: text10-vision100 - evaluation/blimp/ellipsis__MAX","Group: text1-vision100 - evaluation/blimp/ellipsis","Group: text1-vision100 - evaluation/blimp/ellipsis__MIN","Group: text1-vision100 - evaluation/blimp/ellipsis__MAX","Group: text1-vision10 - evaluation/blimp/ellipsis","Group: text1-vision10 - evaluation/blimp/ellipsis__MIN","Group: text1-vision10 - evaluation/blimp/ellipsis__MAX","Group: text1-vision1 - evaluation/blimp/ellipsis","Group: text1-vision1 - evaluation/blimp/ellipsis__MIN","Group: text1-vision1 - evaluation/blimp/ellipsis__MAX","Group: text10-vision1 - evaluation/blimp/ellipsis","Group: text10-vision1 - evaluation/blimp/ellipsis__MIN","Group: text10-vision1 - evaluation/blimp/ellipsis__MAX","Group: text10-vision0 - evaluation/blimp/ellipsis","Group: text10-vision0 - evaluation/blimp/ellipsis__MIN","Group: text10-vision0 - evaluation/blimp/ellipsis__MAX","Group: text1-vision0 - evaluation/blimp/ellipsis","Group: text1-vision0 - evaluation/blimp/ellipsis__MIN","Group: text1-vision0 - evaluation/blimp/ellipsis__MAX"
"87","","","","","","","","","","","","","","","","40.2400016784668","40.2400016784668","40.2400016784668","40.18000030517578","40.18000030517578","40.18000030517578","","",""
"130","","","","","","","","","","","","","","","","","","","","","","38.56999969482422","38.56999969482422","38.56999969482422"
"131","","","","","","","","","","","","","40.2400016784668","40.2400016784668","40.2400016784668","","","","","","","","",""
"145","","","","","","","39.09000015258789","39.09000015258789","39.09000015258789","38.90999984741211","38.90999984741211","38.90999984741211","","","","","","","","","","","",""
"166","39.779998779296875","39.779998779296875","39.779998779296875","40.529998779296875","40.529998779296875","40.529998779296875","","","","","","","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","38.38999938964844","38.38999938964844","38.38999938964844","","",""
"266","","","","","","","","","","","","","","","","39.20000076293945","39.20000076293945","39.20000076293945","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","42.029998779296875","42.029998779296875","42.029998779296875"
"332","","","","","","","44.22999954223633","44.22999954223633","44.22999954223633","44.34000015258789","44.34000015258789","44.34000015258789","","","","","","","","","","","",""
"333","","","","","","","","","","","","","40.06999969482422","40.06999969482422","40.06999969482422","","","","","","","","",""
"338","45.5","45.5","45.5","42.84000015258789","42.84000015258789","42.84000015258789","","","","","","","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","40.81999969482422","40.81999969482422","40.81999969482422","","",""
"445","","","","","","","","","","","","","","","","41.630001068115234","41.630001068115234","41.630001068115234","","","","","",""
"470","","","","","","","","","","","","","43.36000061035156","43.36000061035156","43.36000061035156","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","43.47999954223633","43.47999954223633","43.47999954223633"
"483","","","","","","","44.689998626708984","44.689998626708984","44.689998626708984","44.97999954223633","44.97999954223633","44.97999954223633","","","","","","","","","","","",""
"510","44.11000061035156","44.11000061035156","44.11000061035156","43.29999923706055","43.29999923706055","43.29999923706055","","","","","","","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","42.029998779296875","42.029998779296875","42.029998779296875","","",""
"624","","","","","","","","","","","","","","","","47.060001373291016","47.060001373291016","47.060001373291016","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","43.189998626708984","43.189998626708984","43.189998626708984"
"670","","","","","","","43.709999084472656","43.709999084472656","43.709999084472656","42.380001068115234","42.380001068115234","42.380001068115234","","","","","","","","","","","",""
"672","","","","","","","","","","","","","44.79999923706055","44.79999923706055","44.79999923706055","","","","","","","","",""
"682","44.22999954223633","44.22999954223633","44.22999954223633","42.380001068115234","42.380001068115234","42.380001068115234","","","","","","","","","","","","","","","","","",""
"783","","","","","","","","","","","","","","","","","","","44.34000015258789","44.34000015258789","44.34000015258789","","",""
"803","","","","","","","","","","","","","","","","44.52000045776367","44.52000045776367","44.52000045776367","","","","","",""
"809","","","","","","","","","","","","","45.150001525878906","45.150001525878906","45.150001525878906","","","","","","","","",""
"821","","","","","","","43.939998626708984","43.939998626708984","43.939998626708984","43.59000015258789","43.59000015258789","43.59000015258789","","","","","","","","","","","",""
"826","","","","","","","","","","","","","","","","","","","","","","40.470001220703125","40.470001220703125","40.470001220703125"
"854","38.7400016784668","38.7400016784668","38.7400016784668","42.209999084472656","42.209999084472656","42.209999084472656","","","","","","","","","","","","","","","","","",""
