"Step","Group: text10-vision0 - evaluation/blimp_average","Group: text10-vision0 - evaluation/blimp_average__MIN","Group: text10-vision0 - evaluation/blimp_average__MAX","Group: text1-vision0 - evaluation/blimp_average","Group: text1-vision0 - evaluation/blimp_average__MIN","Group: text1-vision0 - evaluation/blimp_average__MAX","Group: text1-vision100 - evaluation/blimp_average","Group: text1-vision100 - evaluation/blimp_average__MIN","Group: text1-vision100 - evaluation/blimp_average__MAX","Group: text1-vision10 - evaluation/blimp_average","Group: text1-vision10 - evaluation/blimp_average__MIN","Group: text1-vision10 - evaluation/blimp_average__MAX","Group: text1-vision1 - evaluation/blimp_average","Group: text1-vision1 - evaluation/blimp_average__MIN","Group: text1-vision1 - evaluation/blimp_average__MAX","Group: text10-vision1 - evaluation/blimp_average","Group: text10-vision1 - evaluation/blimp_average__MIN","Group: text10-vision1 - evaluation/blimp_average__MAX","Group: text10-vision10 - evaluation/blimp_average","Group: text10-vision10 - evaluation/blimp_average__MIN","Group: text10-vision10 - evaluation/blimp_average__MAX","Group: text10-vision100 - evaluation/blimp_average","Group: text10-vision100 - evaluation/blimp_average__MIN","Group: text10-vision100 - evaluation/blimp_average__MAX"
"130","51.764583587646484","49.13999938964844","54.38916778564453","50.90958213806152","48.461666107177734","53.35749816894531","53.03666687011719","53.03666687011719","53.03666687011719","53.595001220703125","53.595001220703125","53.595001220703125","50.169166564941406","50.169166564941406","50.169166564941406","51.52083206176758","51.52083206176758","51.52083206176758","","","","","",""
"131","48.727500915527344","48.727500915527344","48.727500915527344","","","","","","","","","","","","","","","","48.61916732788086","48.61916732788086","48.61916732788086","48.34333419799805","48.34333419799805","48.34333419799805"
"327","52.475833892822266","50.70500183105469","54.246665954589844","52.13874816894531","51.73249816894531","52.54499816894531","","","","","","","","","","","","","","","","","",""
"328","51.96666717529297","51.96666717529297","51.96666717529297","","","","","","","","","","","","","","","","","","","","",""
"332","","","","","","","53.1775016784668","53.1775016784668","53.1775016784668","53.28666687011719","53.28666687011719","53.28666687011719","52.100833892822266","52.100833892822266","52.100833892822266","54.60916519165039","54.60916519165039","54.60916519165039","","","","","",""
"333","","","","","","","","","","","","","","","","","","","52.38916778564453","52.38916778564453","52.38916778564453","51.87333297729492","51.87333297729492","51.87333297729492"
"459","52.87583351135254","52.14500045776367","53.606666564941406","53.18291664123535","52.92499923706055","53.440834045410156","","","","","","","","","","","","","","","","","",""
"460","53.18333435058594","53.18333435058594","53.18333435058594","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","53.4908332824707","53.4908332824707","53.4908332824707","54.23666763305664","54.23666763305664","54.23666763305664","52.397499084472656","52.397499084472656","52.397499084472656","52.374168395996094","52.374168395996094","52.374168395996094","","","","","",""
"470","","","","","","","","","","","","","","","","","","","53.522499084472656","53.522499084472656","53.522499084472656","54.032501220703125","54.032501220703125","54.032501220703125"
"656","52.06416702270508","51.897499084472656","52.2308349609375","52.260833740234375","52.10499954223633","52.41666793823242","","","","","","","","","","","","","","","","","",""
"657","52.48666763305664","52.48666763305664","52.48666763305664","","","","","","","","","","","","","","","","","","","","",""
"671","","","","","","","51.51583480834961","51.51583480834961","51.51583480834961","52.2216682434082","52.2216682434082","52.2216682434082","51.7400016784668","51.7400016784668","51.7400016784668","52.689998626708984","52.689998626708984","52.689998626708984","","","","","",""
"672","","","","","","","","","","","","","","","","","","","52.214168548583984","52.214168548583984","52.214168548583984","52.05083465576172","52.05083465576172","52.05083465576172"
"788","52.89041709899902","51.9183349609375","53.86249923706055","54.141666412353516","53.9566650390625","54.32666778564453","","","","","","","","","","","","","","","","","",""
"789","54.4658317565918","54.4658317565918","54.4658317565918","","","","","","","","","","","","","","","","","","","","",""
"808","","","","","","","51.38833236694336","51.38833236694336","51.38833236694336","52.839168548583984","52.839168548583984","52.839168548583984","53.45249938964844","53.45249938964844","53.45249938964844","54.72416687011719","54.72416687011719","54.72416687011719","","","","","",""
"809","","","","","","","","","","","","","","","","","","","51.43916702270508","51.43916702270508","51.43916702270508","53.14583206176758","53.14583206176758","53.14583206176758"
"985","54.00541687011719","52.40999984741211","55.600833892822266","55.11333465576172","55.089168548583984","55.13750076293945","","","","","","","","","","","","","","","","","",""
"986","55.378334045410156","55.378334045410156","55.378334045410156","","","","","","","","","","","","","","","","","","","","",""
"1010","","","","","","","53.54666519165039","53.54666519165039","53.54666519165039","52.63666534423828","52.63666534423828","52.63666534423828","53.2400016784668","53.2400016784668","53.2400016784668","55.5","55.5","55.5","","","","","",""
"1011","","","","","","","","","","","","","","","","","","","53.788333892822266","53.788333892822266","53.788333892822266","54.475833892822266","54.475833892822266","54.475833892822266"
"1117","54.308332443237305","52.91749954223633","55.69916534423828","54.850833892822266","54.38999938964844","55.311668395996094","","","","","","","","","","","","","","","","","",""
"1118","55.64250183105469","55.64250183105469","55.64250183105469","","","","","","","","","","","","","","","","","","","","",""
"1147","","","","","","","53.42250061035156","53.42250061035156","53.42250061035156","54.926666259765625","54.926666259765625","54.926666259765625","55.30083465576172","55.30083465576172","55.30083465576172","55.77166748046875","55.77166748046875","55.77166748046875","","","","","",""
"1148","","","","","","","","","","","","","","","","","","","55.57666778564453","55.57666778564453","55.57666778564453","56.01499938964844","56.01499938964844","56.01499938964844"
