"trainer/global_step","Group: text1-vision0 - _step","Group: text1-vision0 - _step__MIN","Group: text1-vision0 - _step__MAX","Group: text1-vision0 - evaluation/pseudo_perplexity","Group: text1-vision0 - evaluation/pseudo_perplexity__MIN","Group: text1-vision0 - evaluation/pseudo_perplexity__MAX","Group: text1-vision100 - _step","Group: text1-vision100 - _step__MIN","Group: text1-vision100 - _step__MAX","Group: text1-vision100 - evaluation/pseudo_perplexity","Group: text1-vision100 - evaluation/pseudo_perplexity__MIN","Group: text1-vision100 - evaluation/pseudo_perplexity__MAX","Group: text1-vision10 - _step","Group: text1-vision10 - _step__MIN","Group: text1-vision10 - _step__MAX","Group: text1-vision10 - evaluation/pseudo_perplexity","Group: text1-vision10 - evaluation/pseudo_perplexity__MIN","Group: text1-vision10 - evaluation/pseudo_perplexity__MAX","Group: text1-vision1 - _step","Group: text1-vision1 - _step__MIN","Group: text1-vision1 - _step__MAX","Group: text1-vision1 - evaluation/pseudo_perplexity","Group: text1-vision1 - evaluation/pseudo_perplexity__MIN","Group: text1-vision1 - evaluation/pseudo_perplexity__MAX"
"124","130","130","130","5217.806640625","5091.81640625","5343.796875","130","130","130","5468.455078125","5468.455078125","5468.455078125","130","130","130","5405.435546875","5405.435546875","5405.435546875","130","130","130","6020.1376953125","6020.1376953125","6020.1376953125"
"249","327","327","327","1962.5592041015625","1953.8094482421875","1971.3089599609375","332","332","332","1972.9302978515625","1972.9302978515625","1972.9302978515625","332","332","332","1999.3232421875","1999.3232421875","1999.3232421875","332","332","332","2048.051513671875","2048.051513671875","2048.051513671875"
"374","459","459","459","1683.4359130859375","1676.137939453125","1690.73388671875","469","469","469","1790.7415771484375","1790.7415771484375","1790.7415771484375","469","469","469","1815.97216796875","1815.97216796875","1815.97216796875","469","469","469","1787.900146484375","1787.900146484375","1787.900146484375"
"499","656","656","656","1428.9893798828125","1426.630615234375","1431.34814453125","671","671","671","1577.3043212890625","1577.3043212890625","1577.3043212890625","671","671","671","1613.944580078125","1613.944580078125","1613.944580078125","671","671","671","1530.3929443359375","1530.3929443359375","1530.3929443359375"
"624","788","788","788","1224.033203125","1214.763671875","1233.302734375","808","808","808","1419.17236328125","1419.17236328125","1419.17236328125","808","808","808","1433.822265625","1433.822265625","1433.822265625","808","808","808","1301.5833740234375","1301.5833740234375","1301.5833740234375"
"749","985","985","985","1009.1473999023438","1001.2501220703125","1017.044677734375","1010","1010","1010","1266.41845703125","1266.41845703125","1266.41845703125","1010","1010","1010","1273.276611328125","1273.276611328125","1273.276611328125","1010","1010","1010","1083.623046875","1083.623046875","1083.623046875"
"874","1117","1117","1117","809.9248046875","802.484130859375","817.365478515625","1147","1147","1147","1052.2669677734375","1052.2669677734375","1052.2669677734375","1147","1147","1147","1082.2340087890625","1082.2340087890625","1082.2340087890625","1147","1147","1147","879.973388671875","879.973388671875","879.973388671875"
"999","1314","1314","1314","579.5037841796875","547.615478515625","611.39208984375","1349","1349","1349","825.848876953125","825.848876953125","825.848876953125","1349","1349","1349","823.5677490234375","823.5677490234375","823.5677490234375","1349","1349","1349","580.7514038085938","580.7514038085938","580.7514038085938"
"1124","1446","1446","1446","366.5177917480469","332.66558837890625","400.3699951171875","1486","1486","1486","499.3160400390625","499.3160400390625","499.3160400390625","1486","1486","1486","554.4251708984375","554.4251708984375","554.4251708984375","1486","1486","1486","322.2332458496094","322.2332458496094","322.2332458496094"
"1249","1643","1643","1643","200.28372192382812","188.21206665039062","212.35537719726562","1688","1688","1688","284.7568359375","284.7568359375","284.7568359375","1688","1688","1688","280.184814453125","280.184814453125","280.184814453125","1688","1688","1688","184.91148376464844","184.91148376464844","184.91148376464844"
"1374","1775","1775","1775","138.7448959350586","131.8046875","145.6851043701172","1825","1825","1825","169.6759033203125","169.6759033203125","169.6759033203125","1825","1825","1825","169.00131225585938","169.00131225585938","169.00131225585938","1825","1825","1825","133.42843627929688","133.42843627929688","133.42843627929688"
"1499","1972","1972","1972","103.86736297607422","99.76690673828125","107.96781921386719","2027","2027","2027","125.07142639160156","125.07142639160156","125.07142639160156","2027","2027","2027","128.2021484375","128.2021484375","128.2021484375","2027","2027","2027","105.1126708984375","105.1126708984375","105.1126708984375"
"1624","2104","2104","2104","81.23212432861328","78.22026062011719","84.24398803710938","2164","2164","2164","100.84554290771484","100.84554290771484","100.84554290771484","2164","2164","2164","104.08576965332031","104.08576965332031","104.08576965332031","2164","2164","2164","87.41234588623047","87.41234588623047","87.41234588623047"
"1749","2301","2301","2301","64.9426383972168","62.738372802734375","67.14690399169922","2366","2366","2366","84.34722137451172","84.34722137451172","84.34722137451172","2366","2366","2366","87.62026977539062","87.62026977539062","87.62026977539062","2366","2366","2366","74.25442504882812","74.25442504882812","74.25442504882812"
"1874","2433","2433","2433","52.35422134399414","50.69538116455078","54.0130615234375","2503","2503","2503","71.97445678710938","71.97445678710938","71.97445678710938","2503","2503","2503","75.75079345703125","75.75079345703125","75.75079345703125","2503","2503","2503","64.23151397705078","64.23151397705078","64.23151397705078"
"1999","2630","2630","2630","43.970035552978516","42.56147766113281","45.37859344482422","2705","2705","2705","61.971031188964844","61.971031188964844","61.971031188964844","2705","2705","2705","65.89984893798828","65.89984893798828","65.89984893798828","2705","2705","2705","55.134063720703125","55.134063720703125","55.134063720703125"
"2124","2762","2762","2762","38.221553802490234","37.527618408203125","38.915489196777344","2842","2842","2842","53.419105529785156","53.419105529785156","53.419105529785156","2842","2842","2842","57.76667785644531","57.76667785644531","57.76667785644531","2842","2842","2842","48.23217010498047","48.23217010498047","48.23217010498047"
"2249","2959","2959","2959","33.76381301879883","32.97074890136719","34.55687713623047","3044","3044","3044","47.27206039428711","47.27206039428711","47.27206039428711","3044","3044","3044","50.705413818359375","50.705413818359375","50.705413818359375","3044","3044","3044","43.03038787841797","43.03038787841797","43.03038787841797"
"2374","3091","3091","3091","30.527804374694824","29.956363677978516","31.099245071411133","3181","3181","3181","42.41667175292969","42.41667175292969","42.41667175292969","3181","3181","3181","45.089454650878906","45.089454650878906","45.089454650878906","3181","3181","3181","39.35638427734375","39.35638427734375","39.35638427734375"
"2499","3288","3288","3288","27.940746307373047","27.426837921142578","28.454654693603516","3383","3383","3383","38.757755279541016","38.757755279541016","38.757755279541016","3383","3383","3383","40.86022186279297","40.86022186279297","40.86022186279297","3383","3383","3383","36.59176254272461","36.59176254272461","36.59176254272461"
"2624","3420","3420","3420","26.028874397277832","25.714460372924805","26.34328842163086","3520","3520","3520","35.9532470703125","35.9532470703125","35.9532470703125","3520","3520","3520","37.92235565185547","37.92235565185547","37.92235565185547","3520","3520","3520","34.08279037475586","34.08279037475586","34.08279037475586"
"2749","3617","3617","3617","24.634843826293945","24.360408782958984","24.909278869628906","3722","3722","3722","33.64058303833008","33.64058303833008","33.64058303833008","3722","3722","3722","35.18987274169922","35.18987274169922","35.18987274169922","3722","3722","3722","32.05708694458008","32.05708694458008","32.05708694458008"
"2874","3749","3749","3749","23.47560977935791","23.193124771118164","23.758094787597656","3859","3859","3859","32.03355407714844","32.03355407714844","32.03355407714844","3859","3859","3859","33.3909797668457","33.3909797668457","33.3909797668457","3859","3859","3859","30.11056900024414","30.11056900024414","30.11056900024414"
"2999","3946","3946","3946","22.50188636779785","22.352718353271484","22.65105438232422","4061","4061","4061","30.611019134521484","30.611019134521484","30.611019134521484","4061","4061","4061","31.716344833374023","31.716344833374023","31.716344833374023","4061","4061","4061","28.883460998535156","28.883460998535156","28.883460998535156"
"3124","4078","4078","4078","21.90713596343994","21.7431697845459","22.071102142333984","4198","4198","4198","29.385746002197266","29.385746002197266","29.385746002197266","4198","4198","4198","30.20822525024414","30.20822525024414","30.20822525024414","4433","4198","4668","27.9594087600708","27.77114486694336","28.147672653198242"
"3249","4275","4275","4275","21.5033597946167","21.414344787597656","21.592374801635742","4400","4400","4400","28.256845474243164","28.256845474243164","28.256845474243164","4400","4400","4400","29.320472717285156","29.320472717285156","29.320472717285156","4635","4400","4870","27.496511459350586","26.745098114013672","28.2479248046875"
"3374","4407","4407","4407","21.10887336730957","20.977767944335938","21.239978790283203","4537","4537","4537","27.21487808227539","27.21487808227539","27.21487808227539","4537","4537","4537","28.1584415435791","28.1584415435791","28.1584415435791","5007","5007","5007","26.60802459716797","26.60802459716797","26.60802459716797"
"3499","4604","4604","4604","20.813475608825684","20.764455795288086","20.86249542236328","4739","4739","4739","26.387203216552734","26.387203216552734","26.387203216552734","4739","4739","4739","27.458797454833984","27.458797454833984","27.458797454833984","5209","5209","5209","25.46308708190918","25.46308708190918","25.46308708190918"
"3624","4736","4736","4736","20.92229461669922","20.868389129638672","20.976200103759766","4876","4876","4876","25.85647201538086","25.85647201538086","25.85647201538086","4876","4876","4876","27.008506774902344","27.008506774902344","27.008506774902344","5346","5346","5346","24.578536987304688","24.578536987304688","24.578536987304688"
"3749","4933","4933","4933","20.983966827392578","20.966968536376953","21.000965118408203","5078","5078","5078","24.964841842651367","24.964841842651367","24.964841842651367","5078","5078","5078","26.173282623291016","26.173282623291016","26.173282623291016","5548","5548","5548","23.95514678955078","23.95514678955078","23.95514678955078"
"3874","5065","5065","5065","21.31479549407959","21.302217483520508","21.327373504638672","5215","5215","5215","24.51290512084961","24.51290512084961","24.51290512084961","5215","5215","5215","25.566638946533203","25.566638946533203","25.566638946533203","5685","5685","5685","23.28318214416504","23.28318214416504","23.28318214416504"
"3999","5262","5262","5262","21.77682590484619","21.65928077697754","21.894371032714844","5417","5417","5417","24.05040740966797","24.05040740966797","24.05040740966797","5417","5417","5417","25.338274002075195","25.338274002075195","25.338274002075195","5887","5887","5887","22.94771385192871","22.94771385192871","22.94771385192871"
"4000","5264","5264","5264","21.65928077697754","21.65928077697754","21.65928077697754","","","","","","","","","","","","","","","","","",""
"4124","5394","5394","5394","22.383800506591797","22.383800506591797","22.383800506591797","5554","5554","5554","23.65648651123047","23.65648651123047","23.65648651123047","5554","5554","5554","24.882829666137695","24.882829666137695","24.882829666137695","6024","6024","6024","22.339004516601562","22.339004516601562","22.339004516601562"
"4249","","","","","","","5756","5756","5756","23.33445167541504","23.33445167541504","23.33445167541504","5756","5756","5756","24.484704971313477","24.484704971313477","24.484704971313477","6226","6226","6226","22.134803771972656","22.134803771972656","22.134803771972656"
"4374","","","","","","","5893","5893","5893","23.238243103027344","23.238243103027344","23.238243103027344","5893","5893","5893","24.3431396484375","24.3431396484375","24.3431396484375","6363","6363","6363","21.85000991821289","21.85000991821289","21.85000991821289"
"4499","","","","","","","6095","6095","6095","22.179767608642578","22.179767608642578","22.179767608642578","6095","6095","6095","24.121471405029297","24.121471405029297","24.121471405029297","6565","6565","6565","21.82982635498047","21.82982635498047","21.82982635498047"
"4624","","","","","","","6232","6232","6232","21.921175003051758","21.921175003051758","21.921175003051758","6232","6232","6232","23.03376579284668","23.03376579284668","23.03376579284668","6702","6702","6702","21.90184783935547","21.90184783935547","21.90184783935547"
"4749","","","","","","","6434","6434","6434","21.55902099609375","21.55902099609375","21.55902099609375","6434","6434","6434","22.89028549194336","22.89028549194336","22.89028549194336","6904","6904","6904","21.580795288085938","21.580795288085938","21.580795288085938"
"4874","","","","","","","6571","6571","6571","21.607290267944336","21.607290267944336","21.607290267944336","6571","6571","6571","22.70347023010254","22.70347023010254","22.70347023010254","7041","7041","7041","21.561813354492188","21.561813354492188","21.561813354492188"
"4999","","","","","","","6773","6773","6773","21.49374008178711","21.49374008178711","21.49374008178711","6773","6773","6773","22.517446517944336","22.517446517944336","22.517446517944336","7243","7243","7243","21.651493072509766","21.651493072509766","21.651493072509766"
